Start Time,Frequency,Node Name,MAC Address,Total Bytes Sent,Total Bytes Received,Rdrand Latency,Contention Rdrand Latency,Total Latency
1575690061107,2500.01,169.254.44.13,46:db:55:76:3b:25,90.00B,90.00B,4.1717529296875e-06,3.981256484985351e-06,-1.9049644470214832e-07
1575690061064,2500.008,169.254.24.253,ee:bc:17:32:8d:9e,90.00B,90.00B,4.403114318847656e-06,4.3487548828125e-06,-5.4359436035156616e-08
1575690061122,2500.01,169.254.199.229,4e:8e:1a:84:a5:b2,90.00B,90.00B,5.123615264892578e-06,4.752349853515625e-06,-3.712654113769527e-07
1575690061155,2500.008,169.254.25.61,ce:00:c4:2e:cb:c0,90.00B,90.00B,4.2530059814453125e-06,4.2382717132568356e-06,-1.4734268188476951e-08
1575690061095,2499.998,169.254.87.29,be:f5:e2:f6:f2:5c,176.00B,90.00B,4.181957244873047e-06,4.3200492858886715e-06,1.380920410156242e-07
1575690061131,2500.004,169.254.122.133,b6:23:b7:17:86:61,90.00B,90.00B,4.205751419067383e-06,4.226875305175781e-06,2.1123886108398335e-08
1575690061146,2500.01,169.254.41.85,5a:a2:ca:e6:78:3d,90.00B,176.00B,4.119873046875e-06,3.899240493774414e-06,-2.2063255310058588e-07
1575690061091,2500.01,169.254.217.141,e6:c9:f2:31:73:5e,90.00B,90.00B,4.648685455322266e-06,4.367399215698242e-06,-2.812862396240235e-07
1575690061164,2500.004,169.254.159.109,36:ba:2f:c1:5d:17,90.00B,176.00B,4.51197624206543e-06,4.423666000366211e-06,-8.831024169921876e-08
1575690061065,2500.004,169.254.159.93,ee:16:46:47:1b:06,90.00B,180.00B,4.4166088104248046e-06,4.273223876953125e-06,-1.4338493347167925e-07
1575690061079,2500.012,169.254.35.61,06:3c:d7:6f:5d:43,180.00B,90.00B,4.4476509094238285e-06,4.310464859008789e-06,-1.3718605041503952e-07
1575690061120,2500.008,169.254.92.21,f6:29:47:31:96:c7,90.00B,90.00B,4.262304306030274e-06,4.518508911132813e-06,2.562046051025391e-07
1575690061066,2500.004,169.254.86.101,3a:a6:a7:3b:3b:e5,90.00B,90.00B,4.730701446533203e-06,4.381227493286133e-06,-3.4947395324706983e-07
1575690061149,2500.002,169.254.102.221,5a:d4:3d:01:38:dd,90.00B,90.00B,4.4405460357666016e-06,4.507684707641602e-06,6.713867187500023e-08
1575690061066,2500.01,169.254.165.85,1e:98:0a:4a:43:b9,90.00B,90.00B,4.502725601196289e-06,4.498481750488281e-06,-4.243850708008086e-09
