In,Start Time,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575685933347,4e:1f:d1:10:4e:0c,90.00B,90.00B,23.923763751983643,17.91720485687256
Both,1575685933380,12:10:2c:3b:0a:34,90.00B,90.00B,23.8903067111969,17.88713240623474
Both,1575685933392,86:b5:3e:5e:56:f1,90.00B,90.00B,23.898962259292603,17.892374992370605
Both,1575685933356,86:bb:4e:e6:2a:1d,90.00B,180.00B,23.940747022628784,17.93416404724121
Both,1575685933359,ee:ce:f5:0e:2b:3e,90.00B,176.00B,23.9392147064209,17.932663917541504
Both,1575685933399,26:b6:4c:b2:52:db,90.00B,90.00B,23.899834156036377,17.89325213432312
Both,1575685933399,26:76:9d:9c:5d:fd,90.00B,90.00B,23.916139364242554,17.909537076950073
Both,1575685933405,72:65:3a:d8:04:ff,180.00B,176.00B,23.91029381752014,17.90374732017517
Both,1575685933341,de:4a:f9:91:9e:c3,90.00B,90.00B,23.981102466583252,17.974482536315918
Both,1575685933373,1a:e6:55:38:0f:a4,90.00B,90.00B,23.951122045516968,17.944554805755615
Both,1575685933351,56:bf:13:87:b6:00,90.00B,90.00B,23.973341464996338,17.96662187576294
Both,1575685933389,16:da:79:c7:b5:6a,90.00B,90.00B,23.943110942840576,17.93631386756897
Both,1575685933377,ee:ef:e9:dd:15:67,90.00B,90.00B,23.961111783981323,17.954524278640747
Both,1575685933375,9e:17:07:f5:07:03,180.00B,90.00B,23.96629762649536,17.960203409194946
Both,1575685933373,a6:27:b0:3e:0b:ef,90.00B,90.00B,23.974257469177246,17.967698574066162
Both,1575685933368,a6:07:6a:6b:20:96,90.00B,90.00B,23.985814809799194,17.97925591468811
Both,1575685933397,2e:1e:67:96:c6:85,90.00B,180.00B,23.964782238006592,17.958221435546875
Both,1575685933400,ba:50:db:ad:3b:f7,90.00B,90.00B,23.963681936264038,17.957074880599976
Both,1575685933377,8e:20:a2:7a:e0:fe,90.00B,90.00B,23.972230434417725,17.965651035308838
Both,1575685933340,1a:8d:73:7e:21:7f,90.00B,90.00B,24.041998863220215,18.039682626724243
Both,1575685933349,3a:92:1a:7d:3d:d0,180.00B,90.00B,24.05246376991272,18.04768419265747
Both,1575685933376,1a:d1:8b:f0:9b:7a,90.00B,90.00B,24.030060052871704,18.02349877357483
Both,1575685933380,0e:ef:c1:1b:21:11,90.00B,90.00B,24.031715869903564,18.025136709213257
Both,1575685933349,1e:76:3f:8f:48:11,90.00B,90.00B,24.088302612304688,18.081727266311646
Both,1575685933360,ea:86:9e:54:2e:7e,90.00B,90.00B,24.094499588012695,18.087895154953003
Both,1575685933396,06:c5:3a:01:4e:44,180.00B,180.00B,24.08533549308777,18.078445196151733
Both,1575685933371,1a:c6:c1:0b:41:40,90.00B,180.00B,24.140969038009644,18.13415265083313
Both,1575685933361,46:ca:a6:9e:6e:f3,180.00B,90.00B,24.157834768295288,18.151283979415894
Both,1575685933376,2a:15:9a:c2:c5:a0,90.00B,90.00B,24.141725301742554,18.135141372680664
Both,1575685933387,fe:8d:f6:28:e9:9b,90.00B,90.00B,24.134068965911865,18.127506494522095
Both,1575685933384,5a:34:2f:52:fc:9b,90.00B,90.00B,24.125888109207153,18.118739128112793
Both,1575685933410,6a:c3:61:77:6d:23,90.00B,90.00B,24.110713005065918,18.104127883911133
Both,1575685933397,32:fa:f2:7d:9c:f4,90.00B,90.00B,24.134506464004517,18.12795352935791
Both,1575685933398,62:a7:6f:ab:f2:68,90.00B,90.00B,24.13613200187683,18.12956929206848
Both,1575685933383,d6:b7:4d:ff:cd:d5,90.00B,90.00B,24.165812492370605,18.16364598274231
Both,1575685933376,e6:6c:1d:ae:2c:c8,90.00B,90.00B,24.17771887779236,18.17134118080139
Both,1575685933394,b2:0e:31:8a:27:f5,90.00B,90.00B,24.160507202148438,18.153936862945557
Both,1575685933365,72:2e:cb:28:0e:c8,90.00B,90.00B,24.194623231887817,18.188037872314453
Both,1575685933341,da:21:77:24:49:43,90.00B,90.00B,24.21934199333191,18.21764850616455
Both,1575685933385,46:62:5c:46:52:b0,90.00B,90.00B,24.187332153320312,18.180784463882446
Both,1575685933349,b2:ce:42:9f:47:f3,90.00B,90.00B,24.22252058982849,18.21594476699829
Both,1575685933386,2a:f6:bf:ac:41:b8,90.00B,90.00B,24.195874452590942,18.18928813934326
Both,1575685933343,ca:74:aa:e7:c4:3b,90.00B,90.00B,24.242748498916626,18.236207008361816
Both,1575685933373,9a:54:2b:9d:dd:4b,90.00B,90.00B,24.2150719165802,18.208292722702026
Both,1575685933394,9e:87:88:be:56:e9,176.00B,90.00B,24.20042848587036,18.193832397460938
Both,1575685933376,92:a4:7a:3f:de:72,90.00B,176.00B,24.22094202041626,18.214372158050537
Both,1575685933357,ea:e0:1b:8d:4f:35,90.00B,90.00B,24.241954565048218,18.238125562667847
Both,1575685933374,d6:8b:4c:14:b6:68,90.00B,90.00B,24.23161554336548,18.22777032852173
Both,1575685933346,7e:dc:8e:f8:cc:be,176.00B,90.00B,24.274067163467407,18.267455339431763
Both,1575685933360,ba:3d:88:47:14:37,90.00B,90.00B,24.2717182636261,18.265121459960938
Both,1575685933365,42:f2:e4:d8:fb:c6,90.00B,90.00B,24.33860445022583,18.334659814834595
