Logs,Boot ID,MAC Address,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error,Base Sample,Bit Sample
out/05-21-13-57/log,e72fb0c8-7a5e-4eb3-9c02-505f5a314477,26:F8:69:D9:83:D5,401,1,2020-05-21 20:56:57,2020-05-21 20:57:12,401,ca8a77ef-d7dd-42ca-abaa-fa46538b3871,1,,out/05-21-13-57/base_samples401,out/05-21-13-57/bit_samples401
out/05-21-13-57/log,c353f0d6-9412-4ebe-b1db-7134c9f4a44e,7A:D1:EA:39:24:55,141,1,2020-05-21 20:56:57,2020-05-21 20:57:12,141,5ddcb4fd-d202-439e-b1f9-40cf8f8be5b5,1,,out/05-21-13-57/base_samples141,out/05-21-13-57/bit_samples141
out/05-21-13-57/log,3fa11293-f8dd-4fbb-8fc0-d5f77dd4ad16,B2:EB:5A:56:C9:11,411,1,2020-05-21 20:56:57,2020-05-21 20:57:12,411,879d6203-949a-4339-84cd-e7d9917e11cb,1,,out/05-21-13-57/base_samples411,out/05-21-13-57/bit_samples411
out/05-21-13-57/log,fd0e163b-dc7f-4c00-9edc-9390f6e22021,92:2F:15:BE:B8:DD,471,1,2020-05-21 20:56:57,2020-05-21 20:57:12,471,bcda6f69-f72d-48d1-9215-6a89df8d3532,1,,out/05-21-13-57/base_samples471,out/05-21-13-57/bit_samples471
out/05-21-13-57/log,33c9676e-32ae-4950-bada-762c9099d644,AE:1A:19:3E:91:0A,61,1,2020-05-21 20:56:57,2020-05-21 20:57:12,61,13a0af97-b554-49bf-98bb-494cc05bea90,1,,out/05-21-13-57/base_samples61,out/05-21-13-57/bit_samples61
out/05-21-13-57/log,1faef722-892d-4c5c-96e5-9cc1231a9736,C6:54:8E:71:94:44,151,1,2020-05-21 20:56:57,2020-05-21 20:57:12,151,d940bfdc-31ee-452e-aad3-a0b9779ee2e7,1,,out/05-21-13-57/base_samples151,out/05-21-13-57/bit_samples151
out/05-21-13-57/log,211fb0f2-c9b7-47be-8fd8-651738bc0ca9,2A:4C:8F:D2:1C:13,491,1,2020-05-21 20:56:57,2020-05-21 20:57:12,491,4618291e-68ba-4f68-8647-96cb3196ad92,1,,out/05-21-13-57/base_samples491,out/05-21-13-57/bit_samples491
out/05-21-13-57/log,3527ff7f-0ede-476e-812e-87c0775e35de,5A:D2:F0:90:66:4C,403,1,2020-05-21 20:56:57,2020-05-21 20:57:12,341,43552816-64b7-4c19-b906-10cdd3de4219,1,,out/05-21-13-57/base_samples341,out/05-21-13-57/bit_samples341
out/05-21-13-57/log,3d5113f0-5e51-4b0c-9462-d19380cc0533,BA:F6:52:8A:1C:AE,201,1,2020-05-21 20:56:57,2020-05-21 20:57:12,201,2db30b4a-3d99-44ce-a627-33ef96d04485,1,,out/05-21-13-57/base_samples201,out/05-21-13-57/bit_samples201
out/05-21-13-57/log,4d3a6119-8571-4461-8a0a-e98d1d5334e8,62:6E:84:D8:16:21,115,1,2020-05-21 20:56:57,2020-05-21 20:57:12,111,8bea7bab-6a37-4c38-ab4e-626531b2e095,1,,out/05-21-13-57/base_samples111,out/05-21-13-57/bit_samples111
