start_time,MAC Addr,IP,imax_value,iavg_value,fmax_value,favg_value
1575504858459,87:15:7f:d6:6e:2b,localhost,0.002530336380004883,3.4802675247192386e-05,0.0014448165893554688,2.3615598678588868e-05
1575504857643,ab:ed:18:e6:0c:75,localhost,0.005151033401489258,5.170845985412598e-05,0.00984334945678711,7.168030738830566e-05
1575504857729,45:8a:0a:db:e8:f9,localhost,0.0036547183990478516,4.586291313171387e-05,0.00726318359375,6.455326080322265e-05
1575504858278,8d:bf:e9:61:32:f2,localhost,0.002527475357055664,3.770875930786133e-05,0.005724191665649414,7.076191902160645e-05
1575504858868,7b:09:83:c5:77:1e,localhost,0.005562782287597656,7.401847839355469e-05,0.0031774044036865234,3.111410140991211e-05
1575504858539,89:2c:28:c5:41:86,localhost,0.012635946273803711,0.00010199332237243652,0.002108335494995117,3.9681196212768555e-05
1575504858425,0b:b8:52:95:c0:b1,localhost,0.0054759979248046875,5.7448863983154296e-05,0.003551006317138672,6.327939033508301e-05
1575504858542,8d:6d:0f:a4:86:7b,localhost,0.006990909576416016,0.00010712623596191406,0.0043697357177734375,4.757857322692871e-05
1575504858580,cb:a2:74:c4:86:d3,localhost,0.014705896377563477,9.116220474243165e-05,0.0058667659759521484,6.452035903930664e-05
1575504858087,21:3b:01:41:8d:c5,localhost,0.06751441955566406,0.00012287473678588868,0.00696110725402832,6.872749328613281e-05
1575504857738,81:0f:ad:0e:d3:be,localhost,0.007742643356323242,6.183266639709473e-05,0.010059833526611328,7.917523384094238e-05
1575504859486,fd:49:a6:85:52:66,localhost,0.006205558776855469,5.517482757568359e-05,0.003774881362915039,3.2149553298950195e-05
1575504859499,eb:f0:1a:75:3c:02,localhost,0.005688190460205078,6.910061836242676e-05,0.005468845367431641,4.1031837463378905e-05
1575504858032,a5:e5:b1:88:27:15,localhost,0.014322757720947266,8.99193286895752e-05,0.008792638778686523,5.964851379394531e-05
1575504859298,b5:1a:9f:6f:16:9e,localhost,0.005346536636352539,7.481884956359863e-05,0.002605915069580078,5.265498161315918e-05
