Logs,GUID,Error,IP Address,Success,Id,CPU CPI,MAC Address,Request ID,Start Time,Protocol Time,Phases,Phase 1,Phase 2,Phase 3,End Time,Boot ID,Predecessors,Base Sample,Bit-1 Sample,Bit-0 Sample,Warm Start,Tag,Channel,Bit-0 Pvalue,Bit-1 Pvalue
out/02-03-17-08/log,02-03-17-08-44,,169.254.76.1,1,44,8.672588,12:FB:B4:BB:AD:49,07b8dc0f-e5ca-4edc-87ce-c07bc06103f2,2021-02-04 01:08:08,30,2,72,44,-1,2021-02-04 01:09:01,8a7ea890-3423-458f-8a69-761129ac01e3,02-03-17-06-43,-,out/02-03-17-08/bit1_samples44,-,Yes,DEFAULT,24,-,-
out/02-03-17-08/log,02-03-17-08-48,,169.254.76.1,1,48,7.836110,1A:A0:3B:57:8F:40,9cb14f81-919b-498e-a13b-af5ee97f7613,2021-02-04 01:08:08,30,2,93,48,-1,2021-02-04 01:09:01,2f523816-bfb7-4288-b853-848781bf3658,02-03-17-06-47,-,-,-,Yes,DEFAULT,19,-,-
out/02-03-17-08/log,02-03-17-08-89,,169.254.76.1,1,89,7.931041,EA:D5:B6:D2:A0:EF,742ac67b-bfa5-405a-95f7-ea7fb9b904cf,2021-02-04 01:08:08,30,3,96,90,89,2021-02-04 01:08:52,9bc4ce44-0d21-41d3-93cf-d3865e24e840,02-03-17-06-51,-,-,-,Yes,DEFAULT,-,-,-
out/02-03-17-08/log,02-03-17-08-14,,169.254.76.1,1,14,8.044187,8E:84:AC:60:D8:0B,7e94df5f-c36a-45e9-9a52-c1d986a4770e,2021-02-04 01:08:08,30,2,19,14,-1,2021-02-04 01:09:01,e321c503-dfbe-421e-9fe5-2650ecdb8937,02-03-17-06-16,-,out/02-03-17-08/bit1_samples14,-,Yes,DEFAULT,18,-,-
out/02-03-17-08/log,02-03-17-08-54,,169.254.76.1,1,54,7.806299,6A:E7:82:5B:10:D8,90442c77-ea72-4f68-b9a6-3c68a60ba691,2021-02-04 01:08:08,20,1,54,-1,-1,2021-02-04 01:08:42,85441b42-d544-404f-9919-8899b3602e03,02-03-17-06-53,-,-,-,Yes,DEFAULT,-,-,-
out/02-03-17-08/log,02-03-17-08-58,,169.254.76.1,1,58,7.842607,A2:0C:76:9F:4C:A4,cc166505-5a7e-4afa-b477-b01f012b3e02,2021-02-04 01:08:08,30,3,83,64,61,2021-02-04 01:08:52,674a3048-76f5-4e12-bc07-2a4188e072da,02-03-17-06-13,-,-,-,Yes,DEFAULT,-,-,-
out/02-03-17-08/log,02-03-17-08-95,,169.254.76.1,1,95,8.374460,62:8D:C0:23:4C:9E,0792f268-e168-4c00-b3cb-071448d273f4,2021-02-04 01:08:08,30,2,95,37,-1,2021-02-04 01:09:01,b293bd62-0fdc-41f0-9fa7-66798256bf2d,02-03-17-06-23,-,-,-,Yes,DEFAULT,25,-,-
out/02-03-17-08/log,02-03-17-08-61,,169.254.76.1,1,61,7.868552,D2:E9:F0:AB:84:9D,5e6c47bf-0f4f-4c2c-b94f-66d89aabcf63,2021-02-04 01:08:08,30,3,83,64,61,2021-02-04 01:08:52,9b2eb18e-d853-4371-84ad-167ab8cb14b8,02-03-17-06-88,-,-,-,Yes,DEFAULT,-,-,-
out/02-03-17-08/log,02-03-17-08-98,,169.254.76.1,1,98,7.796370,56:07:EE:2F:62:86,22fb4727-23d3-4c68-90e9-eab3475dc101,2021-02-04 01:08:08,20,1,98,-1,-1,2021-02-04 01:08:42,5af1f94c-c385-4a80-976d-6c7844ccb41b,02-03-17-06-70,-,-,-,Yes,DEFAULT,-,-,-
out/02-03-17-08/log,02-03-17-08-13,,169.254.76.1,1,13,7.858391,C6:83:71:8D:1D:90,da337d3b-1d8d-47ba-ae6b-e53bfff9f205,2021-02-04 01:08:08,30,2,71,13,-1,2021-02-04 01:09:01,656207a5-3b9e-4f6b-a0fd-4e715596137e,02-03-17-06-91,-,out/02-03-17-08/bit1_samples13,-,Yes,DEFAULT,26,-,-
out/02-03-17-08/log,02-03-17-08-29,,169.254.76.1,1,29,7.870956,F2:14:D0:32:11:20,77e8b740-af38-4f99-8ce2-4c626df80967,2021-02-04 01:08:08,30,3,83,64,61,2021-02-04 01:08:52,9fc1df7e-b4df-4db9-bd45-d1865905405e,02-03-17-06-92,-,-,-,Yes,DEFAULT,-,-,-
out/02-03-17-08/log,02-03-17-08-71,,169.254.76.1,1,71,7.974438,32:85:72:B0:5A:22,421ab967-ff1a-4515-b177-0824afae094e,2021-02-04 01:08:08,30,2,71,13,-1,2021-02-04 01:09:01,c3fe514e-4e32-4632-b1fd-24c0c5232bf3,02-03-17-06-60,-,-,out/02-03-17-08/bit0_samples71,Yes,DEFAULT,26,-,-
out/02-03-17-08/log,02-03-17-08-36,,169.254.76.1,1,36,7.982330,CE:A6:1F:F8:95:15,20e87b0e-0e65-4604-b34a-37642b8e5bf8,2021-02-04 01:08:08,30,2,52,36,-1,2021-02-04 01:09:01,eb13f8a6-7ce9-48eb-9b91-f0f72230bdc4,02-03-17-06-50,-,out/02-03-17-08/bit1_samples36,-,Yes,DEFAULT,17,-,-
out/02-03-17-08/log,02-03-17-08-90,,169.254.76.1,1,90,7.961108,76:B5:92:6F:A3:B6,5abc7e6b-ee1c-4011-86e5-c5883d4f683f,2021-02-04 01:08:08,30,3,96,90,89,2021-02-04 01:09:01,0084405e-1957-4a87-a821-ae532c647376,02-03-17-06-24,-,out/02-03-17-08/bit1_samples90,-,Yes,DEFAULT,27,-,-
out/02-03-17-08/log,02-03-17-08-3,,169.254.76.1,1,3,7.890487,0A:34:44:66:81:68,d01b7ab9-a4e8-42d8-a31f-140a32a382ca,2021-02-04 01:08:08,20,1,3,-1,-1,2021-02-04 01:08:42,6ce45573-4bcb-4d25-8706-4f92e9ca8069,02-03-17-06-71,-,-,-,Yes,DEFAULT,-,-,-
out/02-03-17-08/log,02-03-17-08-7,,169.254.76.1,1,7,7.912676,16:8A:8A:A5:91:C4,ed44073e-3dee-43a8-b014-84c4e691acaa,2021-02-04 01:08:08,30,2,20,7,-1,2021-02-04 01:09:01,e4b032d5-0128-4136-8070-0e43f47babc2,02-03-17-06-8,-,out/02-03-17-08/bit1_samples7,-,Yes,DEFAULT,13,-,-
out/02-03-17-08/log,02-03-17-08-84,,169.254.76.1,1,84,7.836478,52:A6:1B:EC:D1:B1,6ebc2468-a056-43a0-a6eb-0d5224633d6d,2021-02-04 01:08:08,20,1,84,-1,-1,2021-02-04 01:08:42,4cb55b5e-d6cb-4fee-bd4a-368839c5addf,02-03-17-06-37,-,-,-,Yes,DEFAULT,-,-,-
out/02-03-17-08/log,02-03-17-08-86,,169.254.76.1,1,86,7.772651,AA:CF:6C:2B:DB:A8,98982c82-01f3-47b1-83c5-d00b01910676,2021-02-04 01:08:08,30,3,86,80,30,2021-02-04 01:09:01,153c2fc2-7fdd-4fde-bcc8-4739f6b19ce7,02-03-17-06-26,-,-,-,Yes,DEFAULT,6,-,-
out/02-03-17-08/log,02-03-17-08-62,,169.254.76.1,1,62,7.791751,9E:4C:49:5B:AA:4A,1314051c-6b78-4b6f-a8c8-4068a7b98ba6,2021-02-04 01:08:08,30,2,62,32,-1,2021-02-04 01:09:01,4a015f77-25b1-4488-96b3-3de38c8db6cf,02-03-17-06-21,-,-,out/02-03-17-08/bit0_samples62,Yes,DEFAULT,2,-,-
out/02-03-17-08/log,02-03-17-08-85,,169.254.76.1,1,85,7.874896,6A:20:D5:6A:F2:6D,e529147e-ecf3-4cb8-842b-0e85bd4b306d,2021-02-04 01:08:08,30,2,94,85,-1,2021-02-04 01:09:01,326bb5c4-3cfe-4aa8-baf4-a9b590ff17fb,02-03-17-06-67,-,out/02-03-17-08/bit1_samples85,-,Yes,DEFAULT,7,-,-
out/02-03-17-08/log,02-03-17-08-87,,169.254.76.1,1,87,7.783204,36:BA:59:F5:FB:52,df602a95-d62f-4991-aa10-01c8dc8a8a3b,2021-02-04 01:08:08,30,3,87,74,25,2021-02-04 01:09:01,c5450403-2423-4b66-887e-3b4c0995026f,02-03-17-06-49,-,-,out/02-03-17-08/bit0_samples87,Yes,DEFAULT,28,-,-
out/02-03-17-08/log,02-03-17-08-47,,169.254.76.1,1,47,7.840745,8A:85:0C:8F:68:FA,784a4955-7466-46b8-ac38-2dc65e0a7388,2021-02-04 01:08:08,30,2,66,47,-1,2021-02-04 01:09:01,6b110d5c-b580-4cec-b2e9-afdeceb9a46f,02-03-17-06-35,-,out/02-03-17-08/bit1_samples47,-,Yes,DEFAULT,14,-,-
out/02-03-17-08/log,02-03-17-08-67,,169.254.76.1,1,67,7.868071,76:5F:C2:FA:2D:EF,21a0bd88-1475-489c-8d07-1b7da8bae282,2021-02-04 01:08:08,30,2,67,51,-1,2021-02-04 01:09:01,251a8a9e-cb45-4500-b871-47e6538a49db,02-03-17-06-54,-,-,-,Yes,DEFAULT,21,-,-
out/02-03-17-08/log,02-03-17-08-21,,169.254.76.1,1,21,7.737282,72:F1:E7:2B:DD:B5,72d8968e-4de0-4b1f-b279-f3c1fb5f7eaf,2021-02-04 01:08:08,20,1,21,-1,-1,2021-02-04 01:08:42,21e20817-26ce-4dda-b0b0-74e033e94278,02-03-17-06-75,-,-,-,Yes,DEFAULT,-,-,-
out/02-03-17-08/log,02-03-17-08-91,,169.254.76.1,1,91,7.932109,5E:EE:55:37:04:6E,4100ac9e-505c-4bb3-847b-67357cfd0ba4,2021-02-04 01:08:08,30,3,91,75,40,2021-02-04 01:09:01,a40b8f5b-005f-4c80-b822-7bb5bd738e3b,02-03-17-06-65,-,-,out/02-03-17-08/bit0_samples91,Yes,DEFAULT,3,-,-
out/02-03-17-08/log,02-03-17-08-73,,169.254.76.1,1,73,7.767798,0E:0D:5B:0B:AC:FA,dccf55c1-0430-4c97-98b1-9d4d24a2c16e,2021-02-04 01:08:08,20,1,73,-1,-1,2021-02-04 01:08:42,ed36212e-f0df-4e6a-90a0-7c9432790ab5,02-03-17-06-100,-,-,-,Yes,DEFAULT,-,-,-
out/02-03-17-08/log,02-03-17-08-37,,169.254.76.1,1,37,7.837688,F6:41:56:98:6D:04,62dc4cdc-f329-44cb-a230-e94517e1e04c,2021-02-04 01:08:08,30,2,95,37,-1,2021-02-04 01:09:01,f6d34f87-4972-4243-9a5c-d109f05c24ba,02-03-17-06-1,-,out/02-03-17-08/bit1_samples37,-,Yes,DEFAULT,25,-,-
out/02-03-17-08/log,02-03-17-08-92,,169.254.76.1,1,92,8.147604,2A:B0:C2:09:AD:75,11b57ac4-f0b5-4cad-bbc1-8bdcd6f85629,2021-02-04 01:08:08,30,3,99,92,68,2021-02-04 01:09:01,c531f9bd-e7c6-4ed3-ac22-b6047645d41e,02-03-17-06-38,-,out/02-03-17-08/bit1_samples92,-,Yes,DEFAULT,15,-,-
