Logs,Boot ID,MAC Address,Bit-1 Sample,Base Sample,Phase 3,Bit-0 Sample,Phase 2,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error
out/09-09-23-28/log,204f6413-2f0d-479b-bdf1-bcecf0197c8b,3A:B9:C9:B5:6D:BF,out/09-09-23-28/bit1_samples50,out/09-09-23-28/base_samples50,68,out/09-09-23-28/bit0_samples50,116,52,3,2020-09-10 06:28:17,2020-09-10 06:29:16,50,d07efb6c-2c85-4aaf-b00a-602535685fc7,1,
out/09-09-23-28/log,c21e02fc-c8d6-4405-839d-606c83e182a9,E6:55:16:03:0F:9C,out/09-09-23-28/bit1_samples19,out/09-09-23-28/base_samples19,19,out/09-09-23-28/bit0_samples19,19,19,3,2020-09-10 06:28:17,2020-09-10 06:29:17,19,310b0120-6ab3-4bb9-996b-3ac3af6a9068,1,
out/09-09-23-28/log,56afa59a-9fc9-4897-ad24-01d6b32d1693,6E:D0:68:4C:58:AF,out/09-09-23-28/bit1_samples27,out/09-09-23-28/base_samples27,27,out/09-09-23-28/bit0_samples27,27,27,3,2020-09-10 06:28:17,2020-09-10 06:29:17,27,ed2fa0b7-727e-4835-a9b9-0af0f4cdd087,1,
out/09-09-23-28/log,4c74fd86-9b65-4e57-b14d-9af76d1bc588,8E:70:EF:DF:B3:5D,out/09-09-23-28/bit1_samples69,out/09-09-23-28/base_samples69,69,out/09-09-23-28/bit0_samples69,69,69,3,2020-09-10 06:28:17,2020-09-10 06:29:17,69,62078c8b-2fc9-4e84-913a-e2673379fa65,1,
out/09-09-23-28/log,8c82f7be-2ca1-4634-b425-779c4db5e58a,6E:C0:91:70:62:1D,out/09-09-23-28/bit1_samples78,out/09-09-23-28/base_samples78,78,out/09-09-23-28/bit0_samples78,96,78,3,2020-09-10 06:28:17,2020-09-10 06:29:16,78,639ff0c1-8515-4b52-b01e-ea76144fcf26,1,
out/09-09-23-28/log,339f112f-53c4-448d-921b-3f8f4d6bbef3,96:6E:6E:7F:E6:29,out/09-09-23-28/bit1_samples26,out/09-09-23-28/base_samples26,26,out/09-09-23-28/bit0_samples26,26,26,3,2020-09-10 06:28:17,2020-09-10 06:29:16,26,a9a3cf67-0e8e-4916-b2d7-bc73ad2d5cb1,1,
out/09-09-23-28/log,59075f58-8fa1-491a-aa4f-cf8cd981ef72,BA:4C:74:8A:7D:59,out/09-09-23-28/bit1_samples54,out/09-09-23-28/base_samples54,54,out/09-09-23-28/bit0_samples54,54,54,3,2020-09-10 06:28:17,2020-09-10 06:29:16,54,8ff87292-b811-4239-8497-15750ef13d11,1,
out/09-09-23-28/log,5a81fad2-c6d4-491a-aa51-89ff21c83ddb,D6:25:9E:8C:C7:95,out/09-09-23-28/bit1_samples3,out/09-09-23-28/base_samples3,3,out/09-09-23-28/bit0_samples3,3,3,3,2020-09-10 06:28:17,2020-09-10 06:29:17,3,8efd23d2-0db7-4210-8da2-6778b19a1de6,1,
out/09-09-23-28/log,84306f7b-453e-4c69-8c83-0e845aa6974c,D6:04:51:B9:96:72,out/09-09-23-28/bit1_samples22,out/09-09-23-28/base_samples22,22,out/09-09-23-28/bit0_samples22,22,22,3,2020-09-10 06:28:17,2020-09-10 06:29:16,22,7cc3bd4b-6687-498d-80c8-c08580b45f17,1,
out/09-09-23-28/log,8003348a-44a9-47c9-88b2-922e3269b794,96:21:70:63:64:CD,out/09-09-23-28/bit1_samples65,out/09-09-23-28/base_samples65,65,out/09-09-23-28/bit0_samples65,65,65,3,2020-09-10 06:28:17,2020-09-10 06:29:17,65,0d3c19c9-c3e7-4e3c-80ae-5546926b372e,1,
out/09-09-23-28/log,74e207d4-d512-4c76-aa88-e5fa0e0472e6,32:8E:06:7B:43:60,out/09-09-23-28/bit1_samples34,out/09-09-23-28/base_samples34,34,out/09-09-23-28/bit0_samples34,34,34,3,2020-09-10 06:28:17,2020-09-10 06:29:16,34,84982f20-ee38-4bca-b7ff-88c890b3c36a,1,
out/09-09-23-28/log,04d981eb-80b2-4998-8aaa-2c09d6a59175,72:4D:BA:51:E3:70,out/09-09-23-28/bit1_samples55,out/09-09-23-28/base_samples55,55,out/09-09-23-28/bit0_samples55,55,55,3,2020-09-10 06:28:17,2020-09-10 06:29:17,55,a260fb9d-e792-4de9-948a-6849a210dc82,1,
out/09-09-23-28/log,9266bcfb-ffb9-48e6-935d-08c18179c46a,9E:36:46:38:81:EC,out/09-09-23-28/bit1_samples39,out/09-09-23-28/base_samples39,39,out/09-09-23-28/bit0_samples39,39,39,3,2020-09-10 06:28:22,2020-09-10 06:29:17,39,ca150510-a83e-43eb-9c6b-6b27c18730f8,1,
out/09-09-23-28/log,0df1fc7a-58ad-4db8-aeaf-e909909c2293,1E:D9:62:D0:1B:44,out/09-09-23-28/bit1_samples68,out/09-09-23-28/base_samples68,68,out/09-09-23-28/bit0_samples68,68,68,3,2020-09-10 06:28:17,2020-09-10 06:29:16,68,8b4d9b23-069c-4f66-bbfd-a07b400c8ad4,1,
out/09-09-23-28/log,dc5ed307-fa36-4066-853b-5832f029822c,9A:DC:1D:C7:B6:CE,out/09-09-23-28/bit1_samples82,out/09-09-23-28/base_samples82,95,out/09-09-23-28/bit0_samples82,82,96,3,2020-09-10 06:28:17,2020-09-10 06:29:16,82,12bc779d-306d-4534-9b2b-90186190067d,1,
out/09-09-23-28/log,053a30fd-39cb-450d-8ec9-2c746238de6c,FE:54:96:57:A9:BE,out/09-09-23-28/bit1_samples48,out/09-09-23-28/base_samples48,48,out/09-09-23-28/bit0_samples48,48,48,3,2020-09-10 06:28:17,2020-09-10 06:29:16,48,fb289fcb-054e-44d3-8079-9d9242fe5351,1,
out/09-09-23-28/log,650727a4-467f-4f0e-8f8b-9a9313816754,16:C3:9D:AF:63:5A,out/09-09-23-28/bit1_samples31,out/09-09-23-28/base_samples31,31,out/09-09-23-28/bit0_samples31,31,31,3,2020-09-10 06:28:22,2020-09-10 06:29:17,31,d0677926-2219-49ce-914b-272400a9b630,1,
out/09-09-23-28/log,eb03eecf-a23d-45ba-937a-df0da1f2e24e,A2:7B:FF:48:7C:97,out/09-09-23-28/bit1_samples23,out/09-09-23-28/base_samples23,30,out/09-09-23-28/bit0_samples23,23,23,3,2020-09-10 06:28:17,2020-09-10 06:29:17,23,b808de76-093e-4acf-a500-c5123abe3a8b,1,
