GUID,Success,Id,Request ID,Start Time,Phases,Phase 1,Logs,Base Sample,Bit-1 Pvalue,Bit-0 Sample,Error,Bit-0 Pvalue,MAC Address,End Time,Boot ID,Bit-1 Sample,Predecessors,Warm Start
09-17-02-39-98,1,98,405ac38d-9813-4b9a-8e42-2a0646eaa932,2020-09-17 09:39:23,1,98,out/09-17-02-39/log,out/09-17-02-39/base_samples98,0,out/09-17-02-39/bit0_samples98,,0.309769163747213,76:56:BA:71:83:5A,2020-09-17 09:40:01,7365b50f-def4-4b57-89ca-16e6e55cc1f7,out/09-17-02-39/bit1_samples98,,No
09-17-02-39-8,1,8,cc87a69b-06dd-4486-b22d-fb0126fd474b,2020-09-17 09:39:23,1,8,out/09-17-02-39/log,out/09-17-02-39/base_samples8,0,out/09-17-02-39/bit0_samples8,,0.809729870158841,82:1F:68:62:B2:C5,2020-09-17 09:40:01,dc324b18-7bd3-462f-bfd0-410a539c91d4,out/09-17-02-39/bit1_samples8,,No
09-17-02-39-59,1,59,23236045-bfdd-42ad-b731-f8b4510a3677,2020-09-17 09:39:23,1,59,out/09-17-02-39/log,out/09-17-02-39/base_samples59,0,out/09-17-02-39/bit0_samples59,,0.325046763101187,12:34:EF:C2:8D:72,2020-09-17 09:40:01,ba217152-6491-4f81-bdac-b1bbb0f12cd9,out/09-17-02-39/bit1_samples59,,No
09-17-02-39-32,1,32,a14b27b3-2c5b-4cd5-9cfd-6c7c704c23c4,2020-09-17 09:39:23,1,32,out/09-17-02-39/log,out/09-17-02-39/base_samples32,0,out/09-17-02-39/bit0_samples32,,0.208657305790938,5A:8E:B1:9D:84:1E,2020-09-17 09:40:01,eadfe3c0-413a-4df5-b3b1-dec17efcf3e0,out/09-17-02-39/bit1_samples32,,No
09-17-02-39-15,1,15,04a0069c-1a35-47ef-9665-76a1e817814d,2020-09-17 09:39:23,1,15,out/09-17-02-39/log,out/09-17-02-39/base_samples15,0,out/09-17-02-39/bit0_samples15,,0.34872897277135,D2:13:AF:36:00:74,2020-09-17 09:40:01,9ab0ff7e-2276-4041-8e54-824fd99c51b9,out/09-17-02-39/bit1_samples15,,No
09-17-02-39-80,1,80,e473d6e7-f559-452e-a1ba-d8e986d640f2,2020-09-17 09:39:23,1,80,out/09-17-02-39/log,out/09-17-02-39/base_samples80,0,out/09-17-02-39/bit0_samples80,,0.0590206704267233,B6:6B:5B:F5:FF:B6,2020-09-17 09:40:01,bbf68ef1-024c-4d64-b7ce-d105f9a4b813,out/09-17-02-39/bit1_samples80,,No
09-17-02-39-37,1,37,94bcebb4-98aa-4e2c-8f19-c2c266ccef0f,2020-09-17 09:39:23,1,37,out/09-17-02-39/log,out/09-17-02-39/base_samples37,0,out/09-17-02-39/bit0_samples37,,0.164576607072564,AA:20:F3:39:C6:89,2020-09-17 09:40:01,ef266555-06a9-48f2-ad36-2c6d5c21020a,out/09-17-02-39/bit1_samples37,,No
09-17-02-39-88,1,88,c0d0ab16-f034-4cf4-ac72-5ba773cb0349,2020-09-17 09:39:23,1,88,out/09-17-02-39/log,out/09-17-02-39/base_samples88,0,out/09-17-02-39/bit0_samples88,,0.262989731347421,A2:83:8C:4E:94:1B,2020-09-17 09:40:01,05b158f5-e937-4cf9-bfda-8b3f5813f2e0,out/09-17-02-39/bit1_samples88,,No
09-17-02-39-42,1,42,33bb1e83-3f48-41cb-a562-b1898d5b0875,2020-09-17 09:39:23,1,42,out/09-17-02-39/log,out/09-17-02-39/base_samples42,0,out/09-17-02-39/bit0_samples42,,0.311857924495429,96:A3:7B:EC:C4:68,2020-09-17 09:40:01,3cb6d744-f245-480e-8512-acdeecdbd712,out/09-17-02-39/bit1_samples42,,No
09-17-02-39-78,1,78,86df8078-fdfd-4b95-a445-a6f0ad56a040,2020-09-17 09:39:23,1,78,out/09-17-02-39/log,out/09-17-02-39/base_samples78,0,out/09-17-02-39/bit0_samples78,,0.00790176646282564,D6:9B:B3:00:1A:F9,2020-09-17 09:40:01,b18f9dad-d839-4c3f-b128-565f310b61ad,out/09-17-02-39/bit1_samples78,,No
09-17-02-39-60,1,60,c39f3d1c-901b-41e9-b334-8d0bfea27425,2020-09-17 09:39:23,1,60,out/09-17-02-39/log,out/09-17-02-39/base_samples60,0,out/09-17-02-39/bit0_samples60,,0.833768292435729,9A:9B:4E:58:4F:75,2020-09-17 09:40:01,3ec4101d-efc6-49c3-a061-ade7e2e06568,out/09-17-02-39/bit1_samples60,,No
09-17-02-39-13,1,13,8ff41487-3a5e-4f4f-b1d5-328261f495d2,2020-09-17 09:39:23,1,13,out/09-17-02-39/log,out/09-17-02-39/base_samples13,0,out/09-17-02-39/bit0_samples13,,0.694495886158828,B2:FB:7F:E4:6A:37,2020-09-17 09:40:01,f3ed0252-864b-4c8d-9050-6b5d04339292,out/09-17-02-39/bit1_samples13,,No
