Logs,Boot ID,MAC Address,Phase 3,Phase 2,Phase 5,Phase 1,Phases,Start Time,Phase 4,End Time,Id,Request ID,Success,Error,Base Sample,Bit Sample
out/08-20-13-49/log,b9b7c632-dd3c-41ae-aa8f-4e2e032c8b1c,D2:DB:BF:BF:83:5D,895,895,895,895,5,2020-08-20 20:49:57,895,2020-08-20 20:51:17,895,cc0b9fe5-69db-4bbc-a2f1-fcb859c90539,1,,-,-
out/08-20-13-49/log,101fd92e-7d3f-4042-a179-ddb8ae9301ef,42:C5:CD:4C:E3:6C,221,221,221,221,5,2020-08-20 20:49:59,221,2020-08-20 20:51:17,221,f51e9454-1b60-471d-97a2-4d19a5103f22,1,,-,-
out/08-20-13-49/log,e0ec1940-6995-4759-b7ec-45eb45913cd3,AA:BF:56:FB:9B:D4,903,901,898,903,5,2020-08-20 20:50:20,901,2020-08-20 20:51:17,797,221068db-dacf-4c85-8873-e6846c431d59,1,,-,-
out/08-20-13-49/log,61388d01-7858-49f4-8abc-61beb6fc3879,FE:0F:48:BB:62:21,1,1,1,1,5,2020-08-20 20:50:19,1,2020-08-20 20:51:17,1,f5314f0d-bb1e-4e35-8e5e-e9eabe09a0bb,1,,-,-
out/08-20-13-49/log,a1f32f5a-bf1e-4811-8e76-4a86fe419ef7,C2:75:5C:D0:A1:8D,898,896,896,677,5,2020-08-20 20:50:13,677,2020-08-20 20:51:17,677,db1df517-af83-4f4c-937a-9c926cf6f74b,1,,-,-
out/08-20-13-49/log,ba794a35-b159-4706-ad27-978ea79e856d,8A:BA:7E:F2:95:16,908,908,908,908,5,2020-08-20 20:49:57,908,2020-08-20 20:51:16,908,e7d4855e-5470-4ef5-975b-f86b5e7faf6f,1,,-,-
out/08-20-13-49/log,7f4cf8f7-fed4-40b6-bf71-bd6948277d74,4A:1D:E1:0C:E2:CE,149,149,149,149,5,2020-08-20 20:49:57,149,2020-08-20 20:51:17,149,4707b276-0466-45a5-a92e-f07b4e0b35eb,1,,-,-
out/08-20-13-49/log,1fb54474-d2f4-4495-a863-e523a50886a4,22:44:D0:55:16:23,515,515,515,515,5,2020-08-20 20:50:13,515,2020-08-20 20:51:17,515,1dfbc113-8439-4e7d-9997-a565029452cd,1,,-,-
out/08-20-13-49/log,5de9780b-fc32-416a-b677-995483071003,BE:C0:78:EB:D2:66,629,629,628,625,5,2020-08-20 20:50:13,628,2020-08-20 20:51:17,611,61acdb82-8f82-4fee-82a9-fe3630a74abe,1,,-,-
out/08-20-13-49/log,6252cb4c-360b-4879-8215-0152c52681fe,16:F6:74:B2:72:44,304,304,304,304,5,2020-08-20 20:50:08,304,2020-08-20 20:51:16,304,9157f06f-9ce7-4218-ac86-f4caff55b6c2,1,,-,-
out/08-20-13-49/log,f223b749-aefb-46d1-b002-d9d31fa9a2f8,16:7A:B1:03:1A:22,826,826,826,826,5,2020-08-20 20:49:57,826,2020-08-20 20:51:16,826,a1972133-377d-41b9-a62a-d2bdea8bf3e3,1,,-,-
out/08-20-13-49/log,f1ea5bf7-0199-4c01-9b9e-50d0bd5dec2d,86:07:6C:BD:2F:D6,352,352,352,352,5,2020-08-20 20:49:56,352,2020-08-20 20:51:16,352,156fc6fa-4f8c-4fa6-98eb-85b7babd22b4,1,,-,-
out/08-20-13-49/log,7eb62ef6-6e62-44bc-a2fa-d7a1e7b16e47,22:18:A7:C0:78:CD,456,456,456,456,5,2020-08-20 20:50:05,456,2020-08-20 20:51:16,456,4343b52c-dc72-4090-9e79-60969cecdd93,1,,-,-
out/08-20-13-49/log,2655b7c8-160e-48db-97fb-acc40fedf275,AE:EE:8F:B9:50:1D,186,186,186,186,5,2020-08-20 20:50:08,186,2020-08-20 20:51:16,186,dca1bcca-1f69-4bda-acde-eb500c673f82,1,,-,-
out/08-20-13-49/log,26e4b371-4045-452a-b458-f74d450d000d,12:BC:F3:7E:44:CE,607,310,930,727,5,2020-08-20 20:49:59,399,2020-08-20 20:51:16,310,061cd91b-c51a-435a-afc6-c9b80b1f3ee2,1,,-,-
out/08-20-13-49/log,5d80145e-ad6c-482a-a58c-fb96fbc16d3e,B6:3C:84:F7:A3:93,606,606,606,606,5,2020-08-20 20:50:17,606,2020-08-20 20:51:16,606,a017facc-0d01-4a5a-b87c-2e4da69db555,1,,-,-
out/08-20-13-49/log,6656d2ae-d8b3-43d3-9120-fde86c201db4,26:5B:31:90:D4:67,207,207,207,207,5,2020-08-20 20:49:57,207,2020-08-20 20:51:17,207,5936885a-580b-4232-b8c5-67f602efff47,1,,-,-
out/08-20-13-49/log,805be200-d07b-4b0c-bd4a-7014018d00d0,AE:54:49:B3:80:BC,590,590,590,590,5,2020-08-20 20:50:10,590,2020-08-20 20:51:16,590,9f2eff7d-7bc1-43ff-9b51-d8d4d2144ee4,1,,-,-
