Id,Lambda,Phase,Bit,Base Size,Base Mean,Base Std,Size,Mean,Std,Pvalue,Mean Diff
2144,326,0,4,1975,6753,5002,1998,16362,170666,1.042549167429931,9609
2288,351,0,5,1988,6613,4666,2000,16231,24077,-1.080859875390423,9618
2812,453,0,4,2000,6530,4109,1994,16164,126999,1.073330149894025,9634
1544,227,0,1,2000,6668,4666,1941,16309,238402,1.009412984828725,9641
493,66,0,6,1954,6289,3649,1972,15931,92255,1.09904354764479,9642
2306,354,0,2,1985,6382,3683,1978,16027,149182,1.039249261160191,9645
2832,457,0,5,2000,11728,225786,2000,21384,432267,1.003514264703605,9656
1413,203,0,2,2000,6656,4487,1967,16323,146630,1.034711817897566,9667
2403,373,0,1,2000,11539,229284,1954,21206,402965,1.00199756583245,9667
2960,486,0,4,1979,6482,4276,2000,16167,101926,1.137611039949733,9685
1993,301,0,2,1977,6373,3892,1958,16063,117699,1.048925613165611,9690
802,113,0,7,2000,6520,4612,1896,16237,88007,1.048630402887932,9717
347,46,0,3,2000,6417,3613,1969,16140,94349,1.091794646433213,9723
738,102,0,3,2000,7002,5737,2000,16733,118759,1.098663634963984,9731
1212,171,0,6,1988,6745,4602,1964,16480,17986,-1.224215312790091,9735
592,80,0,5,1999,6854,5284,1970,16607,91221,1.100398947692775,9753
546,73,0,5,2000,6726,4610,1960,16485,321187,1.006570588878493,9759
1225,173,0,4,1998,6692,4752,1956,16481,216799,1.013913638729517,9789
845,120,0,8,1881,6885,10469,2000,16708,123510,1.090840929894028,9823
2443,384,0,1,2000,6873,4805,2000,16707,124196,1.091787143594334,9834
1333,191,0,6,2000,6577,5896,1997,16413,53878,1.685478040724545,9836
136,17,0,5,1963,6412,4034,2000,16266,225121,1.026464242794505,9854
2614,413,0,0,1948,6785,6809,1857,16653,129781,0.001126624661254,9868
2261,346,0,0,2000,6604,7146,1965,16473,147340,1.034754972548202,9869
821,116,0,0,1977,7065,5476,1963,16969,219349,1.01517634277252,9904
2176,331,0,4,2000,6580,5200,1972,16508,23850,-3.902144857370752,9928
2279,350,0,0,2000,6529,6026,1987,16459,134220,1.060440706400873,9930
1944,293,0,7,1957,6404,3760,2000,16337,318666,1.013254763837198,9933
2900,472,0,1,2000,6772,4898,2000,16718,119823,1.101735155263489,9946
2771,445,0,6,2000,6695,4563,1882,16649,236086,1.006179016581763,9954
2671,422,0,4,2000,7043,5905,1982,16998,65464,1.278058648708434,9955
808,114,0,7,2000,6640,8912,1910,16609,134130,1.023939858987219,9969
2818,454,0,5,2000,6235,3958,1993,16205,321255,1.011374816040082,9970
1215,172,0,0,1964,6342,3632,2000,16320,186822,1.039909357109754,9978
740,102,0,8,2000,7002,5737,1903,16997,108974,1.034976740716899,9995
357,47,0,8,2000,6282,3704,1956,16291,134632,1.038606899891875,10009
2859,462,0,9,2000,6298,3330,1995,16322,320651,1.01200789918287,10024
2863,464,0,0,2000,6426,3871,1958,16465,20145,-1.834734731833855,10039
1199,170,0,2,1979,6899,4897,2000,16945,182706,1.042354303843642,10046
1077,153,0,5,2000,6238,3226,1936,16299,19687,-3.183266396193586,10061
2598,409,0,6,1907,6998,5578,1902,17099,188076,1.011691539610143,10101
2305,354,0,1,1985,6382,3683,1925,16507,42712,1.367365299455783,10125
2397,372,0,3,1991,6350,5941,1891,16491,258642,1.005699539005385,10141
913,131,0,0,2000,6914,5493,1964,17062,250314,1.012364005357295,10148
31,4,0,2,2000,6715,4711,1931,16871,128351,1.033299713303938,10156
170,21,0,6,2000,6822,4861,2000,16979,320900,1.013669053036126,10157
392,52,0,5,2000,6135,3265,1940,16310,92666,1.072814386846037,10175
3012,500,0,1,1920,6345,3922,1936,16544,324889,1.005373332914265,10199
377,50,0,6,1879,6568,4427,1930,16769,327132,1.004998921696488,10201
96,12,0,5,1938,11620,230980,1942,21822,140131,1.004840780525195,10202
1357,194,0,3,2000,6524,4553,2000,16752,145280,1.071310668771985,10228
447,60,0,6,1986,7072,5509,1961,17310,116087,1.058589744095319,10238
1866,281,0,9,2000,6625,4679,1957,16866,322118,1.006938417612646,10241
2896,471,0,3,1968,6445,3797,1932,16691,252440,1.008663374603,10246
1458,210,0,8,2000,11133,225528,2000,21384,425089,1.004033223342084,10251
440,59,0,2,1982,6542,4311,1929,16797,324330,1.005091919061774,10255
2794,450,0,3,1919,6420,3439,1902,16700,157350,1.017419719855939,10280
61,8,0,0,2000,6664,4656,1987,16958,149033,1.052447450278984,10294
882,126,0,8,1977,6995,5579,2000,17298,264892,1.020772323820956,10303
723,100,0,2,2000,6391,3877,1954,16726,239008,1.012454313070416,10335
2843,459,0,5,1942,11712,229414,1925,22065,317695,1.001954866183709,10353
1386,198,0,9,2000,6750,4728,1978,17167,326233,1.009309339277639,10417
1185,168,0,6,2000,6550,4195,2000,16973,123308,1.106078991800145,10423
42,5,0,6,1967,11941,228331,1961,22397,152302,1.006397594647364,10456
1065,152,0,2,2000,6499,4134,2000,16956,247444,1.024627031029287,10457
1152,163,0,8,1964,6485,4444,2000,16983,44604,3.622771300185997,10498
487,66,0,0,1954,6289,3649,1914,16796,199260,1.012465976365396,10507
2890,469,0,5,2000,11721,228139,1978,22231,354784,1.0035516238433,10510
2586,407,0,5,2000,6896,7021,1932,17451,243589,1.009868631842329,10555
1079,153,0,8,2000,6238,3226,1942,16803,254634,1.010024737504085,10565
2114,322,0,0,1968,6485,4452,2000,17061,175445,1.05135813839235,10576
1761,266,0,0,1955,6579,4658,1961,17178,72857,1.176128884692189,10599
1708,259,0,0,1928,6417,4176,1998,17062,77756,1.315396544249344,10645
163,20,0,6,1986,6578,4122,2000,17243,32010,-2.363980222338023,10665
1059,151,0,5,1996,6562,4550,2000,17231,260703,1.023057289379391,10669
2452,385,0,2,1945,6690,4888,2000,17374,151842,1.071206487171704,10684
1005,143,0,8,2000,11757,225847,1950,22455,440028,1.002135046015123,10698
1243,176,0,0,2000,6275,3389,1969,16994,241035,1.015966340695186,10719
1539,226,0,2,1980,7001,8744,1953,17731,274258,1.010031424072513,10730
2965,488,0,0,2000,6388,4158,1979,17158,249519,1.017408453973783,10770
1280,182,0,1,1969,6436,3927,1994,17210,211222,1.0319429191072,10774
828,117,0,3,1934,7106,6087,1940,17887,51940,1.304908255666346,10781
1748,264,0,2,2000,6741,10823,1918,17524,153770,1.022750705025327,10783
766,107,0,2,2000,6624,4900,2000,17408,244201,1.026942504058208,10784
1955,295,0,3,1913,6388,4040,2000,17178,155413,1.069277061227159,10790
2057,312,0,1,1981,6738,6652,2000,17538,184955,1.047940234114555,10800
2825,456,0,1,1990,6967,4910,1929,17774,280708,1.007564673266949,10807
613,83,0,2,2000,6603,4715,1939,17412,161886,1.025504056719634,10809
1770,267,0,2,1973,6852,6466,1971,17670,56313,1.408606756428803,10818
1879,284,0,1,1912,6434,3732,1952,17267,244338,1.012799595300024,10833
2304,354,0,0,1985,6382,3683,1994,17217,150828,1.06535895789573,10835
1826,275,0,7,1997,6762,5257,2000,17611,53558,2.159979787608992,10849
