GUID,Success,Id,Boot ID,End Time,Request ID,Start Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Predecessors,Bit-1 Sample,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,MAC Address,Warm Start,Account
10-12-12-00-117,1,117,35a4b85d-a2e5-4f3e-9e3f-384fe644e66c,2020-10-12 19:02:29,0873569a-e00b-4d7d-9be4-af810a829da7,2020-10-12 19:00:35,3,995,995,995,out/10-12-12-00/log,out/10-12-12-00/base_samples117,,out/10-12-12-00/bit1_samples117,out/10-12-12-00/bit0_samples117,7.89300273933593,,1.09371315468455,F2:B5:E1:93:FC:89,No,017371402075
10-12-12-00-766,1,766,ac935d48-6f53-47d0-a3b2-dd5a74e7fb5c,2020-10-12 19:02:29,8ddbc939-22c2-4a2b-bdff-10e3fe09515c,2020-10-12 19:00:39,3,928,928,928,out/10-12-12-00/log,out/10-12-12-00/base_samples766,,out/10-12-12-00/bit1_samples766,out/10-12-12-00/bit0_samples766,6.60423816206839,,1.19697884316846,66:A6:67:2A:B1:AF,No,017371402075
10-12-12-00-161,1,161,0f6a7113-f634-42c0-b452-d913bbd28858,2020-10-12 19:02:29,75206262-22d4-47fc-85db-943fccb22108,2020-10-12 19:00:30,3,825,825,825,out/10-12-12-00/log,out/10-12-12-00/base_samples161,,out/10-12-12-00/bit1_samples161,out/10-12-12-00/bit0_samples161,6.89444422524543,,0.614741133180526,76:B7:C7:0D:83:7A,No,017371402075
10-12-12-00-856,1,856,e7db1ea5-b12a-496b-b16a-0762ab977850,2020-10-12 19:02:29,edcb29d0-aba8-41e8-8ffb-9c8ae1732bd8,2020-10-12 19:00:39,3,856,856,856,out/10-12-12-00/log,out/10-12-12-00/base_samples856,,out/10-12-12-00/bit1_samples856,out/10-12-12-00/bit0_samples856,0,,0.820950519342207,5A:30:AA:C5:73:83,No,017371402075
10-12-12-00-370,1,370,b78ff68e-ca84-4b7f-846c-96f412716414,2020-10-12 19:02:29,64d214ec-9666-4b13-adcb-f53e691c72b3,2020-10-12 19:00:33,3,370,370,370,out/10-12-12-00/log,out/10-12-12-00/base_samples370,,out/10-12-12-00/bit1_samples370,out/10-12-12-00/bit0_samples370,0,,0.153367190859845,8E:63:B7:00:70:4F,No,017371402075
10-12-12-00-549,1,549,936e7b37-cb4d-413f-91a6-472717f47e3c,2020-10-12 19:02:29,caa923cb-6c59-4c53-a944-0ec7087c8c26,2020-10-12 19:00:37,3,549,549,549,out/10-12-12-00/log,out/10-12-12-00/base_samples549,,out/10-12-12-00/bit1_samples549,out/10-12-12-00/bit0_samples549,0,,0.512962530655712,86:9B:A9:4E:53:FC,No,017371402075
10-12-12-00-298,1,298,dd2248c8-5909-45cf-ad0e-4f50aafff4d8,2020-10-12 19:02:29,0e9a7543-2b36-479b-b7d0-5e40d55d9533,2020-10-12 19:00:30,3,883,883,883,out/10-12-12-00/log,out/10-12-12-00/base_samples298,,out/10-12-12-00/bit1_samples298,out/10-12-12-00/bit0_samples298,6.47654225839069,,0.519222588770131,5E:10:5C:14:54:D9,No,017371402075
10-12-12-00-444,1,444,bbdb5da1-999c-463c-beb0-6b894c7026af,2020-10-12 19:02:29,8d9366d6-6e9c-4c54-b3b2-8020260e8227,2020-10-12 19:00:34,3,729,729,729,out/10-12-12-00/log,out/10-12-12-00/base_samples444,,out/10-12-12-00/bit1_samples444,out/10-12-12-00/bit0_samples444,6.34002482015454,,0.510939019792228,16:3C:0B:10:8E:3D,No,017371402075
10-12-12-00-185,1,185,dcd6d364-c5f6-408d-b861-643320cef80d,2020-10-12 19:02:29,25191732-23ae-40e4-903f-26e3ee9e77f5,2020-10-12 19:00:36,3,237,237,237,out/10-12-12-00/log,out/10-12-12-00/base_samples185,,out/10-12-12-00/bit1_samples185,out/10-12-12-00/bit0_samples185,5.82491124035365,,0.373054235875976,8E:D0:08:73:C4:ED,No,017371402075
10-12-12-00-833,1,833,b19526db-cad9-40f8-b7ee-d1b49159c977,2020-10-12 19:02:29,ddeb5aa3-2863-4bf6-ad85-08b47e6711fa,2020-10-12 19:00:39,3,898,898,898,out/10-12-12-00/log,out/10-12-12-00/base_samples833,,out/10-12-12-00/bit1_samples833,out/10-12-12-00/bit0_samples833,6.032190888881,,0.205028767251583,DE:9B:2E:3E:BD:F1,No,017371402075
