Id,RefDist,ClusterDist
920,3.67,0.67
551,4.33,2.67
961,0.0,0.0
19,4.67,2.0
132,5.67,3.33
830,2.33,4.0
394,3.67,3.33
688,3.67,3.33
503,1.67,3.33
269,3.67,4.67
509,6.0,4.67
544,1.67,2.0
364,4.0,4.67
778,2.0,3.33
213,5.33,4.67
198,7.0,2.67
223,3.67,5.33
837,2.67,2.67
790,1.33,2.67
322,2.33,3.33
798,4.33,0.67
715,3.33,4.67
547,5.33,2.0
342,3.33,2.0
59,2.67,4.0
235,5.33,3.33
161,4.33,2.0
692,1.67,2.67
174,2.33,4.67
789,3.67,4.67
776,0.33,0.67
541,2.33,4.67
697,4.0,4.67
598,5.67,2.0
292,1.67,2.67
478,5.0,4.67
153,2.0,3.33
418,4.67,5.33
643,2.67,4.67
203,5.33,2.0
427,2.0,4.0
286,3.0,4.67
645,0.67,1.33
833,2.67,4.0
256,6.0,4.0
371,4.0,4.0
935,0.0,0.0
876,0.0,0.0
296,2.0,3.33
4,3.0,3.33
784,4.67,4.0
760,1.0,2.0
282,4.33,3.33
158,1.33,2.67
17,3.67,4.0
633,0.67,1.33
277,4.67,5.33
574,6.67,2.0
710,5.0,4.67
360,4.33,6.67
217,4.0,4.67
297,6.0,2.67
738,3.67,2.67
234,5.33,6.0
572,4.67,5.33
660,0.0,0.0
797,5.0,1.33
439,0.0,0.0
606,4.67,4.0
997,0.0,0.0
41,1.67,3.33
488,4.0,6.0
506,2.67,5.33
601,5.33,4.0
779,1.67,2.0
257,4.0,2.67
831,1.0,2.0
747,0.0,0.0
594,1.33,2.67
672,4.0,2.67
638,2.33,2.67
393,2.33,3.33
149,2.67,2.67
265,2.67,2.67
44,3.0,3.33
448,3.67,6.0
727,5.0,4.67
387,1.33,2.67
586,4.67,5.33
410,1.67,3.33
475,5.67,2.67
870,4.33,2.0
392,4.33,5.33
522,5.33,5.33
629,4.67,4.0
367,3.0,4.67
723,0.0,0.0
421,1.0,2.0
842,2.0,2.67
404,3.0,5.33
582,5.67,2.0
583,2.0,2.67
290,4.33,1.33
128,5.0,4.0
802,3.67,3.33
46,3.0,4.0
634,0.0,0.0
14,4.67,2.0
827,0.0,0.0
494,0.0,0.0
