Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,First Iteration,Rdrand Latency,Rdrand Stdev,Contention Rdrand Latency,Contention Rdrand Stdev,Total Latency,Boot ID,Elapsed Time
1575937417883,2500.01,82:42:f4:02:d8:8f,90.00B,90.00B,5.581982135772705,2.6369953155517578e-05,7.159225228019032e-06,2.611360549926758e-05,9.651084287150538e-06,-2.5634765624999887e-07,21dd5808-6f01-448c-a1a8-d80788d649b8,1558757344
1575937417877,2500.01,8e:d4:37:9b:12:98,90.00B,90.00B,5.574139356613159,2.6367425918579102e-05,7.42316936747826e-06,2.5777149200439452e-05,2.3901221562033003e-05,-5.9027671813965e-07,eb8b6e67-237e-46a1-a0bd-1c2b86566987,1558757520
1575937417845,2499.996,4a:80:d1:6c:54:14,90.00B,90.00B,5.595816373825073,2.619462013244629e-05,8.76765611534269e-06,2.622799873352051e-05,7.871224363465235e-06,3.3378601074218886e-08,59ea791e-c1ce-4f5e-a78e-81236b5d24bd,1558757538
1575937417905,2499.962,82:e7:97:46:52:38,90.00B,90.00B,5.551446199417114,2.5395631790161132e-05,4.6009831393966245e-06,2.5218629837036134e-05,6.335449747053568e-06,-1.7700195312499745e-07,8f83b6a5-077d-4252-ac01-4b56e7cc7335,1558757385
1575937417887,2500.008,26:49:ae:c6:54:50,180.00B,90.00B,5.60874605178833,2.5789308547973633e-05,7.260104358277733e-06,2.554278373718262e-05,5.874589348807665e-06,-2.4652481079101367e-07,7b0e51b3-5447-472a-8d41-cb6ec93f7c61,1558757535
1575937417882,2500.046,aa:29:ca:67:86:f7,90.00B,90.00B,5.5841522216796875,2.586197853088379e-05,4.953011485896612e-06,2.5825119018554687e-05,6.867730544900621e-06,-3.6859512329102056e-08,af8aaf00-5438-43e7-aab1-ff5a74fbe587,1558757137
1575937417866,2500.002,86:cd:ab:48:56:7d,90.00B,90.00B,5.5653235912323,2.5677680969238282e-05,8.193106544919605e-06,2.577323913574219e-05,6.468432056851872e-06,9.555816650390716e-08,e91fcaa9-c16a-49de-a730-add173bd5d3b,1558757226
1575937417902,2499.996,ee:b6:15:e8:27:5d,90.00B,90.00B,5.5886125564575195,2.6361465454101562e-05,7.598240046994215e-06,2.627105712890625e-05,7.731106338182762e-06,-9.040832519531186e-08,ef51c48e-47dc-4a65-94f7-43526ae21fdf,1558757539
1575937417876,2500.002,16:82:b9:d7:78:63,90.00B,90.00B,5.590663194656372,2.6096534729003907e-05,7.636569490646372e-06,2.7147483825683594e-05,8.209872075541554e-05,1.0509490966796878e-06,54721824-547f-40a3-8329-50b652db9160,1558757513
1575937417861,2500.006,96:3f:05:66:36:75,90.00B,90.00B,5.60242223739624,2.5998783111572267e-05,6.342411664456135e-06,2.6312637329101564e-05,8.588271418931589e-06,3.1385421752929725e-07,7ecfac68-304f-40aa-b57f-474fe907b960,1558757179
1575937417865,2500.01,56:47:fa:59:f2:05,90.00B,90.00B,5.583942890167236,2.6008224487304687e-05,7.084522635238988e-06,2.5827884674072265e-05,7.770063767166355e-06,-1.803398132324217e-07,6b346e43-8175-43fe-be17-5112ea8a99a0,1558757300
1575937417859,2500.01,a2:88:0f:94:bd:40,90.00B,90.00B,5.582895755767822,2.611856460571289e-05,6.786553880687792e-06,2.6004648208618163e-05,7.672252861681096e-06,-1.1391639709472704e-07,0eaf367b-7608-42df-a881-0617c1ee1c29,1558757087
1575937417855,2500.006,7a:88:15:88:34:e4,90.00B,90.00B,5.5883190631866455,2.5917816162109375e-05,6.3027918126704736e-06,2.7211666107177734e-05,6.254774433717952e-05,1.2938499450683594e-06,7a57fbd8-201b-40b8-8de9-dcb38a40c155,1558757175
1575937417897,2500.002,d6:61:ed:78:9a:62,90.00B,90.00B,5.56062388420105,2.5847911834716797e-05,6.261119436456993e-06,2.5782012939453126e-05,5.8357762465278545e-06,-6.589889526367076e-08,57487a85-9f68-456c-bb3a-df01e8077a7f,1558757360
