GUID,Success,Id,Boot ID,End Time,Request ID,Start Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Predecessors,Bit-1 Sample,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,MAC Address,Warm Start,Account
10-10-12-03-941,1,941,cd1ffe17-8f47-41b3-a3ec-4f15c3080e2d,2020-10-10 19:05:34,b8da4126-90d6-497b-a725-cb60f2797bc6,2020-10-10 19:03:41,3,941,941,941,out/10-10-12-03/log,out/10-10-12-03/base_samples941,,out/10-10-12-03/bit1_samples941,out/10-10-12-03/bit0_samples941,0,,0.452513076606632,2E:32:E5:BD:6A:BD,No,017371402075
10-10-12-03-864,1,864,cb24c152-ee19-44a5-9eac-d8822cdcf75e,2020-10-10 19:05:34,5a6d781e-76df-4381-95f3-3b214caaddd7,2020-10-10 19:03:42,3,984,984,984,out/10-10-12-03/log,out/10-10-12-03/base_samples864,,out/10-10-12-03/bit1_samples864,out/10-10-12-03/bit0_samples864,7.45595530447844,,0.522653081070136,92:0C:EA:0B:80:57,No,017371402075
10-10-12-03-874,1,874,5c5d71aa-1fdc-4cf5-abbd-9739a1495bc3,2020-10-10 19:05:34,24f232a0-6b28-476c-a042-f5d1ddeb16e2,2020-10-10 19:03:43,3,874,874,874,out/10-10-12-03/log,out/10-10-12-03/base_samples874,,out/10-10-12-03/bit1_samples874,out/10-10-12-03/bit0_samples874,0,,0.236928121986812,76:6F:6B:6E:C0:AC,No,017371402075
10-10-12-03-83,1,83,972367d8-2576-4975-a5f2-a7a5b9c3272f,2020-10-10 19:05:34,6fbdfd3c-904f-4b9a-83e2-995c0af4282c,2020-10-10 19:03:36,3,778,778,778,out/10-10-12-03/log,out/10-10-12-03/base_samples83,,out/10-10-12-03/bit1_samples83,out/10-10-12-03/bit0_samples83,7.63288288194766,,1.08134695998717,EE:93:3E:66:D9:F2,No,017371402075
10-10-12-03-763,1,763,683051cf-f4d8-4eed-ba11-532fd69753a4,2020-10-10 19:05:34,1cb111ed-b499-4753-a4ad-34aa916a24c1,2020-10-10 19:03:44,3,849,849,849,out/10-10-12-03/log,out/10-10-12-03/base_samples763,,out/10-10-12-03/bit1_samples763,out/10-10-12-03/bit0_samples763,7.19104927122079,,0.693550024241222,F2:6A:E1:A9:08:C2,No,017371402075
10-10-12-03-801,1,801,3f7030a0-d9a7-4ef1-86e4-632a822b7400,2020-10-10 19:05:34,47a4088c-6b94-4ace-8e71-8bee66b602fc,2020-10-10 19:03:41,3,801,801,801,out/10-10-12-03/log,out/10-10-12-03/base_samples801,,out/10-10-12-03/bit1_samples801,out/10-10-12-03/bit0_samples801,0,,0.797258857037662,EA:93:19:20:03:91,No,017371402075
10-10-12-03-263,1,263,b559a6a1-dba4-4a49-a18d-ef3d9c04520c,2020-10-10 19:05:34,97664d7e-c4aa-4316-8564-d66e820f2d55,2020-10-10 19:03:36,3,364,364,364,out/10-10-12-03/log,out/10-10-12-03/base_samples263,,out/10-10-12-03/bit1_samples263,out/10-10-12-03/bit0_samples263,7.4510237185077,,0.381567925236321,36:C7:E8:BB:F1:6C,No,017371402075
10-10-12-03-902,1,902,db435d02-6d84-4c0a-ad73-8763daffc12c,2020-10-10 19:05:34,1529a38a-3830-4c29-bd14-2ef2776cc743,2020-10-10 19:03:43,3,902,902,902,out/10-10-12-03/log,out/10-10-12-03/base_samples902,,out/10-10-12-03/bit1_samples902,out/10-10-12-03/bit0_samples902,0,,0.35764333036015,1E:29:94:AD:ED:D5,No,017371402075
10-10-12-03-19,1,19,c5d96954-dda9-423e-8a3c-098aee29a64c,2020-10-10 19:05:34,d24f3ccc-cd05-4b16-b3bb-d5b043975b60,2020-10-10 19:03:36,3,985,985,985,out/10-10-12-03/log,out/10-10-12-03/base_samples19,,out/10-10-12-03/bit1_samples19,out/10-10-12-03/bit0_samples19,8.63849600661268,,1.01587706639671,C2:C3:86:50:02:8E,No,017371402075
10-10-12-03-542,1,542,f93caa72-b296-49c5-af34-0c1dd5970537,2020-10-10 19:05:34,a8649a86-bd7a-45de-ab5c-290be28ad1e0,2020-10-10 19:03:42,3,542,542,542,out/10-10-12-03/log,out/10-10-12-03/base_samples542,,out/10-10-12-03/bit1_samples542,out/10-10-12-03/bit0_samples542,0,,0.949052571037563,D2:5D:B7:0F:51:41,No,017371402075
10-10-12-03-741,1,741,a2e0e9d3-d60e-4959-9257-dde4f0b9c1db,2020-10-10 19:05:34,25dfde30-4178-4247-9c42-b8dde3fcdd61,2020-10-10 19:03:42,3,986,986,986,out/10-10-12-03/log,out/10-10-12-03/base_samples741,,out/10-10-12-03/bit1_samples741,out/10-10-12-03/bit0_samples741,7.35876110426683,,0.459258449457676,9A:80:F6:5F:CB:69,No,017371402075
10-10-12-03-196,1,196,842c962a-7a79-46a6-8589-ebb1f2f2bacf,2020-10-10 19:05:34,495ad6f8-6404-4fba-bb30-bfe1502e60c3,2020-10-10 19:03:36,3,738,738,738,out/10-10-12-03/log,out/10-10-12-03/base_samples196,,out/10-10-12-03/bit1_samples196,out/10-10-12-03/bit0_samples196,5.96266277842961,,0.854210969209218,F6:A3:99:23:39:8D,No,017371402075
10-10-12-03-611,1,611,0bb92616-4268-4a83-8e74-19eab92c689c,2020-10-10 19:05:34,e98166dc-a1fb-4e8c-ac01-d06929fbd535,2020-10-10 19:03:40,3,846,846,846,out/10-10-12-03/log,out/10-10-12-03/base_samples611,,out/10-10-12-03/bit1_samples611,out/10-10-12-03/bit0_samples611,5.51815679788428,,0.443343607078105,9A:B3:3A:91:C6:99,No,017371402075
10-10-12-03-73,1,73,79998a0a-916d-42bd-80dc-618292fafc9c,2020-10-10 19:05:34,a22c67b1-2f82-4be9-85b1-81b76c497d59,2020-10-10 19:03:36,3,648,648,648,out/10-10-12-03/log,out/10-10-12-03/base_samples73,,out/10-10-12-03/bit1_samples73,out/10-10-12-03/bit0_samples73,7.25766897755152,,0.390564138078457,CA:B4:DA:2E:1E:1B,No,017371402075
10-10-12-03-857,1,857,962b5a83-e58c-4299-92ee-00fe616b68b4,2020-10-10 19:05:34,cf0e6ee9-4259-48e9-aa02-791ada375862,2020-10-10 19:03:44,3,982,982,982,out/10-10-12-03/log,out/10-10-12-03/base_samples857,,out/10-10-12-03/bit1_samples857,out/10-10-12-03/bit0_samples857,6.26938945137592,,1.01291244682711,62:EA:6F:82:82:8E,No,017371402075
10-10-12-03-944,1,944,29cce05f-370e-4b31-9a8a-e930e2b62711,2020-10-10 19:05:34,08e79a69-d94f-464a-b00f-8e9e34af93fe,2020-10-10 19:03:42,3,952,952,952,out/10-10-12-03/log,out/10-10-12-03/base_samples944,,out/10-10-12-03/bit1_samples944,out/10-10-12-03/bit0_samples944,5.98729029869795,,1.19941345684145,B6:8B:E9:65:2A:4F,No,017371402075
10-10-12-03-822,1,822,8d24ae8f-d29a-4b39-a9f4-e7601bffa62f,2020-10-10 19:05:34,f9050647-653f-4f61-9e5e-f66d10f20b0f,2020-10-10 19:03:44,3,922,922,922,out/10-10-12-03/log,out/10-10-12-03/base_samples822,,out/10-10-12-03/bit1_samples822,out/10-10-12-03/bit0_samples822,6.08975627116373,,0.148264593098165,EE:7D:9E:D3:47:5C,No,017371402075
10-10-12-03-909,1,909,042f790c-e07c-4ef6-b599-98f3e9d7753f,2020-10-10 19:05:34,f2998772-03c5-4de6-a519-f2bf0cf5d369,2020-10-10 19:03:44,3,986,986,986,out/10-10-12-03/log,out/10-10-12-03/base_samples909,,out/10-10-12-03/bit1_samples909,out/10-10-12-03/bit0_samples909,5.1415415001111,,0.409179812196734,86:47:8D:0E:61:6E,No,017371402075
