In,Start Time,Node Name,Current Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575690055485,169.254.125.237,2500.01,ce:9a:f8:1a:9c:23,90.00B,90.00B,23.384804487228394,17.372788906097412
Both,1575690055398,169.254.22.197,2500.01,ba:e5:70:c6:22:59,90.00B,90.00B,23.47071862220764,17.458555459976196
Both,1575690055352,169.254.17.161,2500.01,ae:76:47:20:71:25,176.00B,90.00B,23.526028633117676,17.514160871505737
Both,1575690055320,169.254.247.133,2500.008,aa:76:c3:05:f3:8c,90.00B,90.00B,23.583904504776,17.57120418548584
Both,1575690055332,169.254.106.93,2500.004,de:10:3d:15:42:b0,90.00B,180.00B,23.609629154205322,17.602177381515503
Both,1575690055478,169.254.124.117,2500.006,36:49:81:36:6b:c5,90.00B,90.00B,23.482826232910156,17.470926523208618
Both,1575690055364,169.254.93.165,2500.008,ba:4b:6f:4a:85:1c,90.00B,90.00B,23.612775325775146,17.600297212600708
Both,1575690055479,169.254.17.253,2500.01,e6:91:ec:e5:52:f2,90.00B,90.00B,23.510508060455322,17.498130321502686
Both,1575690055371,169.254.14.65,2500.038,ae:1d:a9:21:e1:94,90.00B,90.00B,23.65747046470642,17.644742250442505
Both,1575690055380,169.254.249.125,2500.008,72:ca:f0:bf:d1:2f,90.00B,90.00B,23.651565313339233,17.639139890670776
Both,1575690055355,169.254.13.253,2500.038,ee:cb:80:c6:9c:06,90.00B,90.00B,23.683223009109497,17.670865297317505
Both,1575690055345,169.254.72.149,2500.012,5e:e1:e7:d1:20:88,176.00B,90.00B,23.699472188949585,17.68780517578125
Both,1575690055441,169.254.204.229,2500.006,32:c9:28:19:f6:ac,90.00B,90.00B,23.605201721191406,17.592813968658447
Both,1575690055351,169.254.83.173,2500.01,a6:7f:07:05:2b:29,90.00B,90.00B,23.69622826576233,17.68425703048706
Both,1575690055472,169.254.249.237,2500.008,32:d5:49:f3:f5:f1,90.00B,90.00B,23.580536603927612,17.567811727523804
Both,1575690055313,169.254.113.117,2500.002,06:9e:f2:25:18:0e,90.00B,90.00B,23.744520902633667,17.732321977615356
Both,1575690055391,169.254.249.221,2500.008,aa:69:35:23:17:d0,90.00B,90.00B,23.6674063205719,17.655375003814697
Both,1575690055316,169.254.214.221,2500.014,4a:ad:9b:04:35:39,90.00B,90.00B,23.758927822113037,17.746678352355957
Both,1575690055342,169.254.6.5,2499.994,4a:b5:44:ed:57:b1,90.00B,90.00B,23.735026597976685,17.72258996963501
Both,1575690055321,169.254.14.5,2500.01,ae:d3:6b:73:b2:27,90.00B,90.00B,23.76000142097473,17.747666120529175
Both,1575690055385,169.254.18.189,2500.008,32:6d:68:03:c9:5d,90.00B,90.00B,23.709685564041138,17.69683575630188
Both,1575690055314,169.254.39.189,2500.008,ee:98:10:a3:f4:aa,176.00B,90.00B,23.78394341468811,17.771950244903564
Both,1575690055304,169.254.38.229,2500.01,3e:49:f9:fa:ea:20,90.00B,90.00B,23.794198513031006,17.782405853271484
Both,1575690055372,169.254.154.69,2500.01,5a:80:9c:e3:fa:12,90.00B,90.00B,23.740976095199585,17.728670835494995
Both,1575690055517,169.254.154.29,2500.012,7e:9a:01:8a:97:bb,90.00B,90.00B,23.598902940750122,17.586838483810425
Both,1575690055397,169.254.6.93,2499.994,4e:9a:86:d2:d3:5e,90.00B,90.00B,23.719913721084595,17.707873344421387
Both,1575690055338,169.254.203.237,2500.012,3e:e9:95:c6:7a:ab,90.00B,90.00B,23.775378465652466,17.76318359375
Both,1575690055399,169.254.32.205,2500.008,a2:6d:fb:7f:2b:b0,90.00B,90.00B,23.723074913024902,17.711273431777954
Both,1575690055367,169.254.215.165,2500.014,52:a2:25:d0:fd:17,90.00B,176.00B,23.759157419204712,17.7470440864563
Both,1575690055405,169.254.73.165,2500.012,36:fb:08:fd:c3:a6,90.00B,90.00B,23.725505590438843,17.713501930236816
Both,1575690055446,169.254.126.85,2500.012,12:f3:a4:50:28:3f,90.00B,90.00B,23.685166120529175,17.673269510269165
Both,1575690055365,169.254.113.125,2500.002,ea:cc:66:06:22:e7,90.00B,90.00B,23.769479751586914,17.757330417633057
Both,1575690055477,169.254.181.29,2500.006,52:b5:10:b0:a7:17,90.00B,90.00B,23.66122817993164,17.649147033691406
Both,1575690055394,169.254.154.165,2500.01,2e:4f:b9:fd:d0:07,90.00B,90.00B,23.748260259628296,17.735901355743408
Both,1575690055316,169.254.188.69,2500.01,12:4b:a0:50:e4:0a,90.00B,90.00B,23.825643062591553,17.813578605651855
Both,1575690055379,169.254.89.141,2500.008,da:c9:54:6d:f9:be,180.00B,90.00B,23.771227836608887,17.758976697921753
Both,1575690055376,169.254.113.133,2500.002,66:66:6d:c9:92:a4,90.00B,90.00B,23.778934478759766,17.766930103302002
Both,1575690055394,169.254.14.57,2500.01,5e:d6:56:3d:05:74,90.00B,90.00B,23.758002281188965,17.745870113372803
Both,1575690055445,169.254.6.141,2499.994,aa:2f:75:de:95:ea,90.00B,90.00B,23.716328382492065,17.70452117919922
