Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,First Iteration,Rdrand Latency,Rdrand Stdev,Contention Rdrand Latency,Contention Rdrand Stdev,Total Latency,Boot ID,Elapsed Time
1575937477287,2500.004,7a:6f:2e:7b:14:a1,90.00B,90.00B,5.6038477420806885,2.59735107421875e-05,6.8213393412693765e-06,2.814655303955078e-05,0.0001385343367231827,2.173042297363282e-06,a040e593-00b8-4e54-92ab-8821b0ab4547,1558757608
1575937477332,2500.012,5e:c4:ec:20:d6:ce,90.00B,90.00B,5.583508491516113,2.5904464721679688e-05,7.012221338076633e-06,2.550191879272461e-05,1.5096295540832781e-05,-4.0254592895507847e-07,81ffa44a-edc9-4735-9a70-6474b1a3ffaf,1558757223
1575937477284,2500.008,8a:41:4a:86:ac:9e,90.00B,90.00B,5.583884954452515,2.558274269104004e-05,7.314751063948442e-06,2.568974494934082e-05,9.097174425224684e-06,1.070022583007826e-07,2eac917b-6b53-4f9b-acf3-58bb679cf38e,1558757562
1575937477390,2500.006,ca:e1:99:bd:59:e1,176.00B,90.00B,5.5646116733551025,2.5925350189208984e-05,1.2953671212793179e-05,2.6930522918701173e-05,9.244624447774385e-05,1.0051727294921895e-06,9dcbf613-d93b-4e35-a817-e4c5520dd075,1558757367
1575937477276,2500.002,32:fe:40:f1:dc:60,90.00B,90.00B,5.619424104690552,2.533230781555176e-05,6.876865537786432e-06,2.561635971069336e-05,1.1671870246707252e-05,2.8405189514160194e-07,528f7c40-c678-4672-8b7e-ec38a3425366,1558757446
1575937477355,2500.008,4e:6c:4d:16:70:1c,90.00B,90.00B,5.582834720611572,2.814011573791504e-05,0.00019995866797056715,2.5620317459106446e-05,1.1926786040260351e-05,-2.519798278808593e-06,e6992841-3da6-45b1-82e7-f83418335954,1558757544
1575937477401,2500.012,fa:f8:6e:22:86:9e,90.00B,90.00B,5.532390117645264,2.5951385498046875e-05,6.450246594656293e-06,2.5894784927368165e-05,5.630342983295851e-06,-5.660057067870947e-08,8936658b-a492-496e-be2f-3c325a98332f,1558757652
1575937477351,2499.998,2a:26:4d:de:0c:0a,90.00B,90.00B,5.557352781295776,2.5069570541381836e-05,6.1125211045378674e-06,2.5359582901000975e-05,7.678118535171607e-06,2.9001235961913897e-07,0d4fb7c1-424d-43fe-8498-5344ac5e5874,1558757309
1575937477320,2500.008,06:1a:7d:c3:25:2c,90.00B,90.00B,5.598505020141602,2.5813722610473633e-05,7.37865149232365e-06,2.570796012878418e-05,7.5295431389170166e-06,-1.0576248168945397e-07,37ff278c-9688-4da7-9faa-863a62fbdb28,1558757242
1575937477397,2500.01,b6:9d:4b:e1:22:b8,90.00B,90.00B,5.526357889175415,2.6106739044189453e-05,5.9527537290603726e-05,2.6841354370117187e-05,0.00010696392982094963,7.346153259277333e-07,8862d1ec-4c7e-4ff8-84e6-0312b48ae418,1558757639
1575937477396,2500.01,1a:52:dc:99:4e:16,90.00B,90.00B,5.53018593788147,2.5201129913330078e-05,2.4083219737024003e-05,2.592306137084961e-05,5.9156208829296406e-06,7.219314575195326e-07,1e3d9bd1-b41f-4a83-97cd-9c3723da8d82,1558757651
1575937477361,2500.012,92:b6:50:b7:4e:c9,90.00B,90.00B,5.577598571777344,2.5553274154663087e-05,6.7962685269192535e-06,2.590928077697754e-05,8.782262173279661e-06,3.560066223144535e-07,223ed8aa-c24a-4d28-9c1c-4a50be88463f,1558757293
1575937477285,2500.006,fa:e3:01:8f:98:e3,90.00B,90.00B,5.60831093788147,2.5922632217407227e-05,8.097554901425103e-06,2.570633888244629e-05,5.7206798798653234e-06,-2.1629333496093824e-07,7a24bdd8-1a91-465b-a194-b0041251bf3a,1558757205
1575937477304,2500.002,6e:7e:c1:ca:5d:05,90.00B,90.00B,5.604388952255249,2.5978708267211913e-05,1.1064536298672522e-05,2.6042461395263673e-05,8.11819912269982e-06,6.375312805176e-08,349ece01-e739-4cae-b313-9e55cb625be6,1558757353
1575937477286,2499.992,72:29:05:54:5e:11,90.00B,90.00B,5.588756084442139,2.5353384017944335e-05,5.5495236388028114e-06,2.5442552566528322e-05,6.8306055358466075e-06,8.916854858398662e-08,b741e252-d880-41fd-a82d-4c81970a8fb1,1558757430
1575937477283,2500.012,56:dd:ef:90:09:4b,90.00B,90.00B,5.614341497421265,2.5970077514648438e-05,7.455407100133576e-06,2.5775957107543946e-05,6.515779501572644e-06,-1.941204071044921e-07,a92e07f4-d7d6-4f94-a7d0-f3b72e7769f9,1558757525
1575937477312,2500.002,c6:6a:e0:aa:c2:f2,90.00B,90.00B,5.604827404022217,2.6177406311035158e-05,1.4363208754256531e-05,2.596583366394043e-05,5.8525888414104046e-06,-2.1157264709472645e-07,74f224d6-5257-407a-9da8-9d0762fce862,1558757565
1575937477355,2500.008,ea:d8:98:62:db:95,90.00B,90.00B,5.548431873321533,2.4643611907958983e-05,3.954723965979019e-06,2.8452920913696288e-05,0.00023960264153616396,3.8093090057373054e-06,9f90a7b2-0391-4002-8670-0e025a022058,1558757194
1575937477387,2500.0,aa:3d:43:0e:12:55,90.00B,90.00B,5.565572023391724,2.594327926635742e-05,8.007448337638968e-06,2.5714683532714843e-05,7.27034777869916e-06,-2.285957336425773e-07,4ca21bd1-2425-4417-b5c4-2187387c1f82,1558757303
1575937477319,2500.012,f2:09:e2:31:09:0a,90.00B,90.00B,5.582525253295898,2.562599182128906e-05,6.439514212613269e-06,2.5153827667236327e-05,5.602436997007771e-06,-4.721641540527351e-07,ccbea0a2-8735-4b2e-a0b2-2d0ff7e39677,1558757453
