GUID,Success,Id,Boot ID,End Time,Request ID,Start Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Predecessors,Bit-1 Sample,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,MAC Address,Warm Start
09-22-14-58-30,1,30,e56516c9-4589-4818-8a30-2135fdaace00,2020-09-22 21:59:08,5cfcadd9-d162-4a67-8723-102ad21b1985,2020-09-22 21:58:09,3,30,30,30,out/09-22-14-58/log,out/09-22-14-58/base_samples30,,out/09-22-14-58/bit1_samples30,out/09-22-14-58/bit0_samples30,0,,0.291846733749805,0E:1D:1F:DE:A6:DA,No
09-22-14-58-93,1,93,f610432e-176a-41ee-9577-a7d30e70f796,2020-09-22 21:59:08,67e1b084-1e20-4f78-86b0-2197b690bfba,2020-09-22 21:58:09,3,93,93,93,out/09-22-14-58/log,out/09-22-14-58/base_samples93,,out/09-22-14-58/bit1_samples93,out/09-22-14-58/bit0_samples93,0,,0.15607393259827,86:2C:B4:2A:B0:0E,No
09-22-14-58-51,1,51,f57d8598-f01f-401b-8d2b-1b37b7ad60b5,2020-09-22 21:59:08,3e15dd28-50a2-438a-b1bb-70238f773432,2020-09-22 21:58:09,3,51,51,51,out/09-22-14-58/log,out/09-22-14-58/base_samples51,,out/09-22-14-58/bit1_samples51,out/09-22-14-58/bit0_samples51,0,,0.21278602074302,42:2F:63:9D:7D:8A,No
09-22-14-58-54,1,54,6ff0032f-6f91-46d0-bcc9-b99d3d301f27,2020-09-22 21:59:08,189d68a4-e719-4844-a6b8-083b036409cf,2020-09-22 21:58:09,3,54,54,54,out/09-22-14-58/log,out/09-22-14-58/base_samples54,,out/09-22-14-58/bit1_samples54,out/09-22-14-58/bit0_samples54,0,,0.465180401699169,56:E6:2C:43:83:9B,No
09-22-14-58-67,1,67,f560c6c5-124d-4932-bc9d-f8f0ab02eb11,2020-09-22 21:59:08,c51e846c-74cd-4b94-a401-8209ba54efe7,2020-09-22 21:58:09,3,67,67,67,out/09-22-14-58/log,out/09-22-14-58/base_samples67,,out/09-22-14-58/bit1_samples67,out/09-22-14-58/bit0_samples67,0,,0.0917210458466133,7E:EC:81:AC:26:78,No
09-22-14-58-19,1,19,80c2d4ec-eeaa-4fea-9a79-712ea7d80038,2020-09-22 21:59:08,21a494c0-5f97-4445-b4cb-26140aa9130b,2020-09-22 21:58:09,3,19,19,19,out/09-22-14-58/log,out/09-22-14-58/base_samples19,,out/09-22-14-58/bit1_samples19,out/09-22-14-58/bit0_samples19,0,,0.165994506309697,06:9D:AF:9A:77:12,No
09-22-14-58-70,1,70,59b8c2ce-775a-4b30-bfcb-9117a59932ed,2020-09-22 21:59:08,5acf154c-e246-4160-bb7a-7aec22b2153f,2020-09-22 21:58:09,3,70,70,70,out/09-22-14-58/log,out/09-22-14-58/base_samples70,,out/09-22-14-58/bit1_samples70,out/09-22-14-58/bit0_samples70,0,,0.254822306715876,22:95:58:69:BD:75,No
09-22-14-58-83,1,83,77fdb946-31b8-4c12-8ce8-81e37d72e664,2020-09-22 21:59:08,38a0f6c9-9440-431c-bca7-46aac5548335,2020-09-22 21:58:09,3,83,83,83,out/09-22-14-58/log,out/09-22-14-58/base_samples83,,out/09-22-14-58/bit1_samples83,out/09-22-14-58/bit0_samples83,0,,0.585358238814472,82:86:36:41:11:7A,No
09-22-14-58-92,1,92,6fbcd0a9-947f-4611-a65f-60b56d57791a,2020-09-22 21:59:08,332f2cc3-b480-4339-a51e-b2a6dca8111d,2020-09-22 21:58:09,3,92,92,92,out/09-22-14-58/log,out/09-22-14-58/base_samples92,,out/09-22-14-58/bit1_samples92,out/09-22-14-58/bit0_samples92,0,,0.439695049093366,F2:60:35:52:CF:0B,No
09-22-14-58-56,1,56,9ed1e6c0-1d41-4566-bb68-db5d6bbf1251,2020-09-22 21:59:08,508fd9d4-8f13-4b13-9963-ceeb6ece288c,2020-09-22 21:58:09,3,56,56,56,out/09-22-14-58/log,out/09-22-14-58/base_samples56,,out/09-22-14-58/bit1_samples56,out/09-22-14-58/bit0_samples56,0,,0.207516440354711,46:3E:4F:09:46:32,No
09-22-14-58-96,1,96,aa57b46c-86cb-4afe-9072-9ba67ccc029a,2020-09-22 21:59:08,efde5163-2f40-4f7f-a9fd-f63bf8b910d3,2020-09-22 21:58:09,3,96,96,96,out/09-22-14-58/log,out/09-22-14-58/base_samples96,,out/09-22-14-58/bit1_samples96,out/09-22-14-58/bit0_samples96,0,,0.130884757696746,5E:69:57:F1:39:6B,No
09-22-14-58-88,1,88,901f29f4-466b-4d3f-a72a-47874e836bbb,2020-09-22 21:59:08,86a1686e-d5b7-45eb-8e7a-704f78cc7a61,2020-09-22 21:58:09,3,88,88,88,out/09-22-14-58/log,out/09-22-14-58/base_samples88,,out/09-22-14-58/bit1_samples88,out/09-22-14-58/bit0_samples88,0,,0.243819225413221,A6:BD:06:C1:2D:26,No
09-22-14-58-38,1,38,8147b7ed-d31f-49f0-8821-4b29ffc56ec5,2020-09-22 21:59:08,0e8e966c-faa9-4b0f-bd37-4ce90318fab2,2020-09-22 21:58:09,3,38,38,38,out/09-22-14-58/log,out/09-22-14-58/base_samples38,,out/09-22-14-58/bit1_samples38,out/09-22-14-58/bit0_samples38,0,,0.187138599117168,8A:A6:60:B7:A8:DA,No
09-22-14-58-14,1,14,34593310-e09b-44ee-a955-a2ff6ba51230,2020-09-22 21:59:08,f6de3a4d-4384-4141-bba5-c5f6df76ad7c,2020-09-22 21:58:09,3,14,14,14,out/09-22-14-58/log,out/09-22-14-58/base_samples14,,out/09-22-14-58/bit1_samples14,out/09-22-14-58/bit0_samples14,0,,0.522731182122569,02:B0:2C:25:A9:87,No
09-22-14-58-86,1,86,73ef1d9f-5b8e-400a-9812-bbb98e15583d,2020-09-22 21:59:08,9f110fa0-d68e-468e-8a00-383eda819e2c,2020-09-22 21:58:09,3,86,86,86,out/09-22-14-58/log,out/09-22-14-58/base_samples86,,out/09-22-14-58/bit1_samples86,out/09-22-14-58/bit0_samples86,0,,0.17519577771617,9E:75:2D:C5:F8:4C,No
