Id,Lambda,Phase,Bit,Base Size,Base Mean,Base Std,Size,Mean,Std,Pvalue,Mean Diff
597,86,0,9,999,6558,5803,942,6473,4250,0.711756802414474,-85
2600,456,0,9,998,6785,5176,968,6700,4649,0.701549858842035,-85
2457,425,0,1,933,6541,4179,951,6460,3997,0.667427797430251,-81
936,144,0,1,1000,6695,4788,979,6615,10438,0.827186996707187,-80
325,44,0,9,996,6454,3645,1000,6376,3738,0.637048746386741,-78
831,128,0,9,941,6688,4800,1000,6610,4107,0.701379265375493,-78
1241,196,0,9,982,6653,4939,983,6575,4870,0.724529492059489,-78
1337,213,0,9,1000,6737,4691,964,6659,4453,0.705486475731094,-78
2743,490,0,9,1000,6310,3539,1000,6232,3005,0.595304829815862,-78
1010,155,0,9,977,6457,3943,937,6381,3905,0.671954417159988,-76
1111,172,0,8,998,6357,3483,996,6281,3420,0.623120843281848,-76
1203,190,0,9,1000,6615,4571,994,6539,4581,0.710839190093616,-76
273,37,0,4,996,6122,2781,969,6048,2931,0.566224257713307,-74
2255,387,0,4,955,6240,3284,952,6166,7334,0.776311813942244,-74
470,67,0,9,998,6134,3057,967,6061,2821,0.582186471256316,-73
1170,183,0,9,979,6623,4684,1000,6550,4294,0.718028492181664,-73
1685,278,0,9,985,6327,4579,960,6254,3742,0.699979051403385,-73
2771,498,0,9,1000,6620,4626,994,6548,4851,0.734569821062166,-72
2289,392,0,9,1000,6823,4845,973,6752,5086,0.751058970333778,-71
2011,336,0,5,956,6211,3253,913,6141,3101,0.634030679726509,-70
1164,182,0,6,967,6155,3108,979,6086,2680,0.600277098012668,-69
2075,348,0,9,964,6532,3986,897,6464,3845,0.708094292593885,-68
2723,485,0,9,979,6769,10310,959,6701,5195,0.854115936869428,-68
2767,497,0,9,1000,6628,4808,980,6560,6651,0.794691970250462,-68
1176,184,0,9,969,6098,2355,966,6031,2174,0.51564590942591,-67
2731,488,0,0,979,6171,3224,951,6105,2825,0.632307131913235,-66
1247,197,0,9,997,6002,2721,1000,5939,2382,0.582149759980258,-63
572,82,0,9,997,6702,4615,974,6641,4182,0.758429156207798,-61
1594,264,0,9,1000,6712,4854,961,6651,5108,0.786526737507059,-61
703,104,0,7,964,6164,2871,977,6104,2680,0.634358690684114,-60
1245,197,0,5,997,6002,2721,946,5942,2463,0.610151142663655,-60
599,87,0,5,1000,6393,4065,969,6334,3753,0.737840855901868,-59
2009,336,0,2,956,6211,3253,948,6152,3228,0.69129662630117,-59
526,75,0,9,1000,7025,6278,962,6968,5820,0.834749079936409,-57
2301,394,0,9,1000,6405,3961,969,6348,3837,0.74576422386613,-57
1940,324,0,1,1000,6257,3187,1000,6201,2702,0.671791589346342,-56
117,15,0,8,1000,6446,4072,982,6392,4534,0.780441987110225,-54
2778,500,0,9,1000,6575,4205,971,6521,4215,0.775935815696032,-54
815,125,0,9,937,6478,4316,997,6425,3942,0.778440599211649,-53
609,88,0,9,948,6147,2761,1000,6095,2598,0.669083270675348,-52
2333,400,0,9,1000,6488,4443,1000,6437,4209,0.792200717696852,-51
193,25,0,9,970,6490,3800,965,6440,3648,0.767836612967142,-50
1601,265,0,9,1000,6075,3252,972,6026,2745,0.717456660633857,-49
1793,296,0,9,971,6733,4724,981,6684,4499,0.814551550853818,-49
2066,346,0,9,1000,6474,4022,1000,6425,3918,0.782617988799955,-49
287,39,0,6,1000,6128,3272,937,6081,3130,0.746685412354657,-47
777,117,0,9,1000,7644,13075,1000,7598,16274,0.944456456306026,-46
2641,465,0,9,1000,6377,3954,1000,6331,3665,0.787343927051884,-46
1613,267,0,7,975,6467,3964,952,6423,12377,0.916733710771604,-44
1805,298,0,9,1000,6577,4668,1000,6533,4546,0.830947704424743,-44
2237,384,0,6,934,6178,3420,997,6134,2633,0.752629396700655,-44
2570,451,0,2,976,6246,3654,991,6202,4818,0.819349582953913,-44
747,112,0,7,947,6474,4631,1000,6431,3822,0.82374738242251,-43
1638,271,0,9,975,6798,5265,1000,6755,4804,0.849761969748685,-43
2565,450,0,2,936,6332,3754,976,6289,4009,0.808695337146034,-43
1,1,0,1,957,6122,2725,998,6080,2309,0.713767100470217,-42
392,55,0,7,996,6224,3324,965,6185,2727,0.77615162715701,-39
1058,163,0,9,964,6211,2839,978,6172,2641,0.7541223209653,-39
2116,356,0,9,956,6213,3245,992,6174,2918,0.780636302827212,-39
1214,192,0,9,986,6383,3866,972,6345,3507,0.819804068270984,-38
1031,160,0,0,976,6444,3772,976,6407,3644,0.825594227239065,-37
1286,204,0,5,980,6237,3192,945,6200,3093,0.796260030714712,-37
2639,465,0,3,1000,6377,3954,1000,6340,3530,0.825330018603062,-37
89,11,0,8,1000,6364,3361,1000,6328,3673,0.819184695491938,-36
1730,286,0,9,1000,6394,3808,958,6358,3702,0.832082902036508,-36
1285,204,0,4,980,6237,3192,980,6202,3189,0.808204353798196,-35
1852,307,0,6,984,6367,4045,991,6333,4425,0.85857078803983,-34
1608,266,0,9,1000,6206,3840,1000,6173,3382,0.838458425924769,-33
2050,343,0,9,983,6195,3999,977,6162,3166,0.839466463121434,-33
2383,410,0,2,942,6101,3203,1000,6068,3494,0.82816139604203,-33
51,6,0,9,972,6656,4365,955,6624,4174,0.869387565088019,-32
1837,304,0,9,936,7158,5788,1000,7126,5795,0.903317396061376,-32
2081,350,0,5,1000,6106,3306,946,6074,4605,0.860928218391588,-32
2419,417,0,9,982,6376,3483,993,6344,3754,0.844333616797515,-32
612,89,0,5,969,6697,4727,984,6666,4815,0.885860862342152,-31
934,143,0,9,1000,6441,4003,961,6410,3994,0.863757408642541,-31
498,71,0,9,956,6418,3374,1000,6388,3638,0.849963817163598,-30
1171,184,0,0,969,6098,2355,977,6072,2647,0.818968439388111,-26
2320,398,0,5,1000,6115,2495,969,6089,2004,0.79851706377188,-26
601,87,0,8,1000,6393,4065,917,6368,4220,0.895119108060425,-25
854,131,0,9,973,6562,4214,975,6537,3720,0.889628178504906,-25
610,89,0,1,969,6697,4727,1000,6673,4260,0.905905442199883,-24
