In,Start Time,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575685736608,46:37:2d:2e:c5:f7,90.00B,90.00B,23.328617095947266,17.321970462799072
Both,1575685736546,22:8c:ea:be:1a:00,90.00B,90.00B,23.396508932113647,17.38965106010437
Both,1575685736527,f2:81:27:79:4a:bc,90.00B,90.00B,23.417407751083374,17.410789966583252
Both,1575685736560,f6:80:c0:09:4b:a6,180.00B,180.00B,23.391040086746216,17.38431739807129
Both,1575685736495,a2:b4:42:3d:9a:97,90.00B,90.00B,23.456512689590454,17.44989562034607
Both,1575685736526,e6:dd:a9:a7:7d:33,90.00B,90.00B,23.426584005355835,17.419958353042603
Both,1575685736554,32:09:41:64:ee:d6,90.00B,90.00B,23.39802360534668,17.391395330429077
Both,1575685736519,1a:c2:dd:b3:8e:6c,90.00B,90.00B,23.44261407852173,17.435982942581177
Both,1575685736489,f2:76:44:6e:98:ee,176.00B,180.00B,23.47261333465576,17.465999603271484
Both,1575685736536,ae:7c:5a:f5:84:e2,90.00B,90.00B,23.426220655441284,17.419618606567383
Both,1575685736743,42:73:92:6a:6e:4b,90.00B,90.00B,23.22509241104126,17.218486547470093
Both,1575685736657,26:f7:24:8c:bd:df,90.00B,176.00B,23.321654081344604,17.315021753311157
Both,1575685736526,ee:38:1f:18:58:0d,90.00B,176.00B,23.468940496444702,17.46232557296753
Both,1575685736601,26:16:45:15:20:44,90.00B,90.00B,23.40221858024597,17.395573377609253
Both,1575685736524,fa:83:32:ca:be:25,90.00B,90.00B,23.483012437820435,17.476352214813232
Both,1575685736520,86:b5:3e:5e:56:f1,90.00B,90.00B,23.487616300582886,17.4809627532959
Both,1575685736495,fe:8d:f6:28:e9:9b,90.00B,90.00B,23.51453733444214,17.507691144943237
Both,1575685736533,46:62:5c:46:52:b0,90.00B,90.00B,23.4814715385437,17.475006580352783
Both,1575685736589,9a:30:ca:78:6b:c4,90.00B,90.00B,23.43026351928711,17.423638105392456
