Logs,GUID,Predecessors,Boot ID,MAC Address,Phase 3,Phase 2,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error,Base Sample,Bit-1 Sample,Bit-0 Sample,Warm Start,Account
out/10-13-23-38/log,10-13-23-38-165,10-13-23-34-473,2c87c9af-dc11-4a16-8305-65d5da085348,06:95:34:7D:7E:28,906,906,906,3,2020-10-14 06:38:37,2020-10-14 06:40:36,165,682fc4f3-1270-447c-8f3b-2508c34e1256,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-188,10-13-23-34-279,185c2c20-1064-44ca-9403-e2b570b4de7a,26:34:05:A9:62:AA,969,969,969,3,2020-10-14 06:38:37,2020-10-14 06:40:36,188,ab71f05c-2fbb-4b05-a1e2-aee33cb69781,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-751,"10-13-23-26-55,10-13-23-28-36,10-13-23-34-7",51509593-0472-4f47-b93d-1e8592f324de,26:4B:06:8B:9E:E9,751,751,751,3,2020-10-14 06:38:49,2020-10-14 06:40:36,751,f52b18c2-80e6-40ae-bd3a-ae1e4b96de26,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-613,10-13-23-34-750,fe77b48e-a3d1-48af-bbc3-e79ec3bfc5fa,C6:19:96:79:06:E3,613,613,613,3,2020-10-14 06:38:40,2020-10-14 06:40:36,613,02dbbf54-8990-4919-8c0d-6f4377acfa83,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-185,10-13-23-34-601,3227002b-b5a2-42e7-8e85-5016ab9f7669,BA:D6:55:EF:C1:91,964,964,964,3,2020-10-14 06:38:37,2020-10-14 06:40:36,185,7c71ebc2-1ef3-427c-bf47-34a1de19081c,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-296,10-13-23-34-406,9941c62f-bf1d-4b8b-b3d7-dd3cac95e215,52:0E:50:F5:F3:61,948,948,948,3,2020-10-14 06:38:37,2020-10-14 06:40:36,296,1824f997-55b6-456c-9ed6-bf5db8f15674,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-819,10-13-23-34-323,9032b8f5-cc65-4961-9ec6-98013e1bddf3,EE:F6:00:4B:55:8A,906,906,906,3,2020-10-14 06:38:53,2020-10-14 06:40:36,819,578f340a-3235-4c35-870d-801baf8fa39c,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-196,10-13-23-34-686,cbc78417-3ff0-4635-b6bb-81b8eb37e5f4,06:48:87:64:77:41,809,809,809,3,2020-10-14 06:38:37,2020-10-14 06:40:36,196,a9e75282-e0ea-409c-a0f4-14dcca541593,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-595,10-13-23-34-521,5e3ee705-9ca3-40a3-b41c-b2265393fcb3,76:67:D2:14:C2:0D,973,973,973,3,2020-10-14 06:38:47,2020-10-14 06:40:36,595,128c7214-8366-4a88-9793-7a7393ba85c7,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-726,10-13-23-34-24,c3b0d55a-6ea0-4fe4-bec3-144d53f82381,22:1A:30:4D:63:83,987,987,987,3,2020-10-14 06:38:55,2020-10-14 06:40:36,726,0559d8ad-1a4e-49a4-b6a5-82058d5de74e,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-341,10-13-23-34-389,129c4e98-59d8-4801-9805-7f6495f48312,E2:0E:4E:1F:77:AF,999,999,999,3,2020-10-14 06:38:37,2020-10-14 06:40:36,341,575dffec-f2bb-4b2c-98c8-e642a601bef7,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-645,10-13-23-34-865,f4a50364-d98e-4028-b909-a8839fd73bcb,E2:71:45:AE:1A:D0,982,982,982,3,2020-10-14 06:38:44,2020-10-14 06:40:36,645,8b734711-4793-40de-885d-aebfad911a4a,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-766,10-13-23-34-28,285dbd12-41ec-4819-8bda-94d83ca2e9f9,FE:7B:CD:EB:F4:A6,975,975,975,3,2020-10-14 06:38:57,2020-10-14 06:40:36,766,e4f3be24-77e3-492b-be65-b333fe396964,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-121,10-13-23-34-747,2ee6408b-39f6-4ac7-a0e0-f0cb0712926d,36:71:C9:8D:46:8E,969,969,969,3,2020-10-14 06:38:39,2020-10-14 06:40:36,121,33fbf0de-093d-4463-8cfe-c2dffdb27194,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-415,10-13-23-34-926,edebeb6c-4f73-4f32-806b-804414436687,96:02:FA:AD:F8:F6,950,950,950,3,2020-10-14 06:38:37,2020-10-14 06:40:36,415,78109974-1c2a-49e2-ae2a-75c495cd3ad5,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-29,10-13-23-34-893,9997503f-5de8-4d56-b824-bd410b2e9f7b,6E:75:4A:3E:71:66,969,969,969,3,2020-10-14 06:38:37,2020-10-14 06:40:36,29,7de1028a-8309-4f12-9935-67b34dce2f0d,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-187,10-13-23-34-944,6c4b8a69-6f19-4a13-9a12-4720c7069f03,AE:32:1E:10:07:CB,657,657,657,3,2020-10-14 06:38:37,2020-10-14 06:40:36,187,94485b4c-8b06-4418-baa0-2c90804e6dd2,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-207,10-13-23-34-934,b11cef5b-aa89-4931-96f1-de7bc91d2fee,8A:1F:92:73:44:AE,997,997,997,3,2020-10-14 06:38:37,2020-10-14 06:40:36,207,c89db972-580e-4823-9b29-1f928158f422,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-241,10-13-23-34-525,2a2be2ad-37a4-46b2-bdb9-fcc51122c5fe,62:88:7C:55:AE:67,760,760,760,3,2020-10-14 06:38:42,2020-10-14 06:40:36,241,a4da792a-7648-4d90-a0d6-4fb490763204,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-201,10-13-23-34-720,40890684-b05f-4cfd-9e3c-1a302367b15a,4E:69:E3:EA:4B:68,935,935,935,3,2020-10-14 06:38:37,2020-10-14 06:40:36,201,c5d0534b-3233-4e83-be8f-6407ba6f892f,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-206,10-13-23-34-85,70471cd3-26ed-4d71-abe4-cf7323bc29b3,CE:C2:5A:9F:F0:6E,977,977,977,3,2020-10-14 06:38:37,2020-10-14 06:40:36,206,e504dd36-bf02-4c25-9a08-90281478eaac,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-247,10-13-23-34-58,ae4b5fc9-5b24-439c-86dd-0511229cf598,32:48:32:33:89:3C,452,452,452,3,2020-10-14 06:38:37,2020-10-14 06:40:36,247,51386b53-9d0c-4dcc-811d-5b6b8a18088b,1,,-,-,-,Yes,017371402075
