Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Rdrand Latency,Contention Rdrand Latency
1575662228239,2500.006,fa:7a:17:fa:7e:90,90.00B,90.00B,4.805135726928711e-06,4.573392868041993e-06
1575662228209,2500.006,2a:fc:bc:4c:cb:76,90.00B,90.00B,4.719352722167969e-06,4.855775833129882e-06
1575662228252,2500.008,e6:e9:ae:52:5d:68,90.00B,90.00B,4.646587371826172e-06,4.845285415649414e-06
1575662228249,2500.012,3e:b1:8d:db:1a:8a,90.00B,90.00B,4.75320816040039e-06,4.726743698120117e-06
1575662228244,2500.0,72:e4:ef:62:c0:4c,90.00B,90.00B,4.6030521392822265e-06,4.76531982421875e-06
1575662228244,2500.006,c6:1c:56:c9:9c:51,90.00B,90.00B,5.054044723510742e-06,5.005359649658203e-06
1575662228284,2500.012,2a:11:8f:d2:04:cc,90.00B,90.00B,4.585599899291992e-06,4.466915130615235e-06
1575662228284,2500.006,e6:05:ec:27:1d:62,90.00B,90.00B,4.575777053833008e-06,4.685354232788086e-06
1575662228217,2500.002,66:3a:62:ba:0a:de,90.00B,180.00B,4.8902511596679685e-06,4.962015151977539e-06
1575662228273,2500.006,7e:96:7b:56:81:1e,90.00B,90.00B,4.912710189819336e-06,5.108642578125e-06
1575662228236,2500.008,9a:51:d3:d0:a4:60,90.00B,90.00B,4.7295570373535155e-06,4.722785949707032e-06
1575662228206,2500.002,4a:d7:22:76:99:d6,90.00B,90.00B,4.909515380859375e-06,4.957485198974609e-06
1575662228281,2500.004,32:dd:09:4f:41:c8,176.00B,90.00B,4.807853698730469e-06,4.778718948364257e-06
1575662228244,2500.002,76:60:25:9e:0b:3d,90.00B,90.00B,4.599332809448242e-06,4.7677040100097655e-06
1575662228239,2500.002,aa:98:55:f7:0e:3c,90.00B,180.00B,4.708051681518555e-06,4.59890365600586e-06
1575662228289,2500.01,7e:a6:23:2c:07:f8,90.00B,90.00B,4.492044448852539e-06,4.66461181640625e-06
1575662228280,2500.002,7a:84:38:b7:d5:ab,90.00B,90.00B,4.941463470458984e-06,4.8863410949707035e-06
1575662228247,2500.002,46:16:cb:e3:aa:36,90.00B,90.00B,4.564523696899414e-06,4.617738723754883e-06
1575662228284,2500.01,ce:2c:86:7d:9d:c1,90.00B,90.00B,4.7832489013671876e-06,4.656076431274414e-06
1575662228215,2500.008,6a:19:23:1f:65:c3,90.00B,90.00B,4.775476455688477e-06,4.767274856567383e-06
1575662228285,2500.008,ae:58:61:9d:ad:74,90.00B,176.00B,4.840707778930664e-06,4.822206497192383e-06
1575662228233,2500.008,7e:b7:23:05:ac:ca,90.00B,90.00B,4.78668212890625e-06,4.73623275756836e-06
1575662228248,2500.002,fe:e0:9f:59:14:e0,90.00B,90.00B,4.86297607421875e-06,5.044889450073242e-06
1575662228284,2500.008,76:8e:4a:5c:a8:9c,90.00B,90.00B,4.762077331542969e-06,4.747629165649414e-06
1575662228282,2500.002,0e:df:c9:df:2e:2d,90.00B,90.00B,4.466485977172851e-06,4.692840576171875e-06
1575662228254,2500.012,76:80:d7:24:ff:bc,90.00B,90.00B,4.742574691772461e-06,4.878664016723632e-06
1575662228286,2500.0,32:ca:b2:c2:d9:71,90.00B,90.00B,4.421472549438477e-06,4.666519165039063e-06
1575662228224,2500.012,36:6b:74:56:6d:f0,90.00B,90.00B,4.964637756347656e-06,4.796218872070313e-06
1575662228285,2500.01,5e:f8:50:f3:53:b0,90.00B,90.00B,4.670524597167969e-06,4.598569869995117e-06
1575662228248,2500.012,fe:5e:da:df:83:9b,90.00B,90.00B,4.886531829833984e-06,4.849815368652344e-06
1575662228248,2500.002,36:1f:f5:4e:43:e1,90.00B,90.00B,4.958295822143555e-06,4.972791671752929e-06
1575662228278,2500.004,6a:9c:9b:51:ca:5c,90.00B,90.00B,4.8919677734375e-06,4.865884780883789e-06
1575662228284,2500.002,32:38:69:86:d5:29,90.00B,90.00B,4.17475700378418e-06,4.3824195861816406e-06
1575662228244,2500.002,16:8e:0c:b0:92:71,90.00B,90.00B,4.704999923706055e-06,4.649591445922851e-06
1575662228280,2500.012,d2:a4:c1:93:a7:6f,90.00B,90.00B,5.0041675567626955e-06,4.907751083374023e-06
1575662228280,2500.01,b6:e2:11:9e:80:da,90.00B,90.00B,4.2514324188232425e-06,4.2811393737792965e-06
1575662228282,2500.002,da:f8:3b:79:46:b0,90.00B,90.00B,4.96664047241211e-06,4.781532287597656e-06
1575662228280,2500.002,16:e2:07:df:e5:30,176.00B,90.00B,4.4223785400390625e-06,4.811716079711914e-06
1575662228284,2500.0,32:3b:8f:85:3a:f1,90.00B,90.00B,4.4936656951904296e-06,4.687261581420899e-06
1575662228282,2500.012,ce:b8:41:35:a1:90,90.00B,90.00B,4.878330230712891e-06,4.833316802978516e-06
1575662228285,2500.008,8a:9d:e4:6f:17:cf,90.00B,90.00B,4.900074005126953e-06,4.927492141723633e-06
1575662228284,2500.012,0e:d8:af:4b:99:30,90.00B,90.00B,4.7174930572509766e-06,4.80198860168457e-06
1575662228274,2500.006,26:46:eb:21:ff:b0,90.00B,90.00B,4.74710464477539e-06,4.920625686645508e-06
1575662228251,2500.012,3a:f9:bf:ea:f0:f4,90.00B,90.00B,4.982137680053711e-06,4.846525192260742e-06
1575662228274,2500.006,be:46:cd:b7:34:9f,90.00B,90.00B,4.869985580444336e-06,4.784202575683594e-06
1575662228277,2500.006,5a:af:7b:d6:17:be,90.00B,90.00B,4.892492294311524e-06,4.691362380981445e-06
1575662228288,2500.012,d2:14:c1:0c:ba:53,90.00B,90.00B,4.9254894256591794e-06,4.777050018310547e-06
1575662228247,2500.002,76:b7:f2:c7:f6:84,180.00B,90.00B,5.0938606262207035e-06,5.096626281738281e-06
1575662228282,2500.008,96:63:c3:e9:b2:4b,90.00B,90.00B,4.731035232543945e-06,4.85386848449707e-06
1575662228247,2500.002,52:e6:9a:01:a6:ba,90.00B,90.00B,4.9250125885009766e-06,5.045795440673828e-06
1575662228282,2500.002,7e:ba:5f:50:1e:62,90.00B,90.00B,4.4044971466064455e-06,4.7156333923339845e-06
1575662228286,2500.004,8a:e7:0b:bb:9f:63,90.00B,90.00B,4.641580581665039e-06,4.574298858642578e-06
1575662228284,2500.004,ce:2e:c9:07:7a:fb,90.00B,90.00B,4.654264450073242e-06,4.596138000488281e-06
1575662228288,2500.012,3e:28:a0:5b:2c:fd,90.00B,90.00B,5.158710479736328e-06,4.789352416992188e-06
1575662228280,2500.012,26:93:4d:b2:3c:91,90.00B,90.00B,4.549074172973633e-06,4.653644561767578e-06
1575662228287,2500.012,a2:b0:01:97:3e:92,90.00B,90.00B,4.559183120727539e-06,4.763603210449219e-06
1575662228250,2500.012,3a:e4:e6:70:d0:d8,90.00B,90.00B,4.864358901977539e-06,4.857492446899414e-06
1575662228284,2500.008,86:be:38:37:cc:1e,180.00B,90.00B,4.6688079833984375e-06,4.748106002807617e-06
1575662228276,2500.006,da:b1:cf:52:66:62,90.00B,90.00B,4.840707778930664e-06,4.948043823242187e-06
1575662228283,2500.008,22:ab:c1:0b:17:0b,90.00B,90.00B,4.615640640258789e-06,5.3165912628173825e-06
1575662228200,2300.014,26:6c:c7:eb:e4:a3,176.00B,90.00B,5.975627899169922e-06,6.035518646240235e-06
1575662228203,2300.014,fa:88:ed:52:c6:44,180.00B,90.00B,6.063747406005859e-06,5.926847457885743e-06
1575662228200,2300.014,b2:dd:ca:bc:4e:91,90.00B,90.00B,6.371355056762696e-06,6.225490570068359e-06
1575662228206,2300.014,ca:52:18:cf:db:54,90.00B,90.00B,6.144523620605468e-06,5.9539794921875e-06
1575662228202,2300.014,f6:8e:11:40:d5:00,90.00B,90.00B,6.134510040283203e-06,6.124448776245117e-06
1575662228200,2300.014,de:7c:97:13:f0:39,90.00B,90.00B,6.073999404907226e-06,6.418037414550781e-06
1575662228201,2300.016,8a:68:6e:65:e3:1f,90.00B,90.00B,6.267499923706055e-06,6.0770034790039065e-06
1575662228200,2300.014,b6:40:c5:6b:50:05,90.00B,90.00B,6.095743179321289e-06,6.112766265869141e-06
1575662228201,2300.014,46:7e:a3:5f:de:8d,90.00B,90.00B,6.338739395141602e-06,5.9601783752441404e-06
1575662228205,2300.014,66:d1:0a:5e:5e:bf,90.00B,90.00B,6.205368041992188e-06,6.164455413818359e-06
1575662228202,2300.014,2e:31:61:66:d5:86,90.00B,176.00B,6.1627388000488285e-06,6.0285568237304685e-06
1575662228203,2300.014,3a:aa:a4:cf:ef:df,90.00B,90.00B,6.179618835449219e-06,6.0464859008789065e-06
1575662228201,2300.016,ee:c4:34:d5:e8:96,90.00B,90.00B,5.904579162597656e-06,7.038688659667969e-06
1575662228202,2300.014,b2:76:5a:72:6a:ba,90.00B,90.00B,6.316947937011719e-06,6.214475631713867e-06
1575662228203,2300.014,ce:96:56:9a:6b:cb,180.00B,90.00B,5.986595153808594e-06,6.010532379150391e-06
1575662228202,2300.016,aa:2b:bf:36:fe:92,180.00B,90.00B,6.0893535614013675e-06,6.097269058227539e-06
1575662228206,2300.014,92:f6:6c:88:0e:85,90.00B,176.00B,6.107616424560547e-06,6.0866832733154294e-06
1575662228202,2300.014,32:1f:61:25:91:7b,90.00B,90.00B,6.321382522583008e-06,6.080102920532226e-06
1575662228203,2300.014,2a:91:2c:b7:54:96,90.00B,90.00B,6.107854843139649e-06,6.112432479858398e-06
1575662228202,2300.014,f6:c2:f8:8e:e1:bb,90.00B,90.00B,6.121826171875e-06,6.063699722290039e-06
1575662228199,2300.016,52:9e:55:10:8d:60,90.00B,90.00B,6.132984161376953e-06,6.087541580200196e-06
1575662228202,2300.014,82:6f:c2:0e:b0:2b,176.00B,90.00B,6.2447547912597654e-06,6.159782409667968e-06
1575662228201,2300.016,0e:2c:0a:e6:95:11,90.00B,90.00B,6.200695037841797e-06,6.197309494018555e-06
1575662228201,2300.014,d6:77:4d:03:81:a3,90.00B,90.00B,6.876754760742187e-06,6.1656475067138676e-06
1575662228200,2300.016,26:67:b2:cf:56:1e,90.00B,90.00B,6.311655044555664e-06,6.151533126831055e-06
1575662228200,2300.014,b6:5d:94:00:b3:31,90.00B,90.00B,6.397533416748047e-06,6.075191497802735e-06
1575662228201,2300.014,b2:10:9d:4b:d1:da,90.00B,90.00B,6.2705516815185545e-06,6.1787605285644534e-06
1575662228201,2300.014,b6:cf:27:68:11:b6,90.00B,90.00B,6.083488464355468e-06,6.0703754425048825e-06
1575662228201,2300.016,36:7b:08:18:f4:bf,90.00B,176.00B,6.191778182983398e-06,6.140756607055664e-06
1575662228201,2300.016,82:72:c1:eb:69:0b,90.00B,90.00B,5.854892730712891e-06,5.908584594726562e-06
1575662228201,2300.014,fe:33:0e:ab:08:1f,90.00B,90.00B,6.088066101074219e-06,6.073522567749023e-06
1575662228202,2300.016,a6:1c:12:f2:89:5e,90.00B,90.00B,6.053781509399414e-06,5.96466064453125e-06
1575662228203,2300.014,0a:e5:66:25:1f:e6,90.00B,90.00B,6.037616729736328e-06,6.270647048950195e-06
1575662228202,2300.014,06:90:c4:07:d0:ee,90.00B,90.00B,6.252098083496093e-06,6.327486038208008e-06
1575662228204,2300.014,aa:da:93:28:0f:37,90.00B,90.00B,6.081056594848633e-06,6.129789352416992e-06
1575662228199,2300.016,da:5f:a6:cd:b1:58,90.00B,90.00B,6.094646453857422e-06,6.1411380767822265e-06
1575662228200,2300.014,7a:22:a3:49:13:ce,90.00B,90.00B,6.163501739501953e-06,6.060457229614258e-06
1575662228203,2300.014,0a:cf:27:c4:5d:75,90.00B,90.00B,6.124639511108399e-06,6.227779388427735e-06
1575662228200,2300.016,d2:9d:e2:7b:fd:38,180.00B,90.00B,6.23617172241211e-06,6.145668029785157e-06
1575662228202,2300.014,b6:82:a5:f6:3b:5c,90.00B,90.00B,6.057405471801758e-06,5.933380126953125e-06
1575662228224,2300.014,da:d3:7c:b3:bd:7b,90.00B,90.00B,5.970573425292969e-06,5.827474594116211e-06
1575662228207,2300.014,66:3e:5b:e9:6a:4e,90.00B,90.00B,6.2892436981201175e-06,6.290006637573242e-06
1575662228199,2300.014,56:28:f1:ea:d9:55,90.00B,90.00B,6.102800369262696e-06,6.14013671875e-06
1575662228234,2300.014,1e:d0:d5:1a:e6:0c,176.00B,90.00B,6.00433349609375e-06,9.31396484375e-06
1575662228203,2300.014,a6:9c:0a:10:fe:0e,90.00B,90.00B,7.234859466552734e-06,5.923748016357422e-06
1575662228200,2300.014,4e:5d:39:8d:1b:c2,90.00B,90.00B,6.289434432983398e-06,6.403064727783203e-06
1575662228203,2300.014,8a:97:c5:dc:cd:20,90.00B,90.00B,6.0262203216552735e-06,6.0651302337646485e-06
1575662228248,2300.014,26:41:5f:4d:a8:5f,90.00B,90.00B,6.193304061889649e-06,5.990791320800781e-06
1575662228200,2300.014,be:d6:bb:49:82:3d,90.00B,90.00B,6.116008758544922e-06,6.160449981689453e-06
1575662228204,2300.014,2e:9c:bb:7f:89:d5,90.00B,176.00B,6.243276596069336e-06,6.329154968261718e-06
1575662228205,2300.014,06:33:c9:b4:d9:2c,180.00B,90.00B,6.233406066894531e-06,6.3385009765625e-06
1575662228200,2300.014,6a:e0:7f:36:13:50,90.00B,90.00B,6.257009506225586e-06,6.173801422119141e-06
1575662228212,2300.014,f6:4e:9f:ab:e7:a0,176.00B,90.00B,6.359624862670898e-06,6.046438217163086e-06
1575662228199,2300.016,66:21:ad:70:db:a4,90.00B,90.00B,6.072664260864258e-06,6.057834625244141e-06
1575662228234,2300.014,9a:99:5c:e8:45:d3,176.00B,90.00B,6.035327911376953e-06,6.035327911376953e-06
1575662228203,2300.014,1e:00:1f:02:c8:19,90.00B,90.00B,6.137275695800781e-06,5.939674377441406e-06
1575662228199,2300.014,9e:ed:11:61:28:21,90.00B,90.00B,6.485557556152344e-06,6.429576873779297e-06
1575662228222,2300.014,ca:72:57:c5:8d:e3,90.00B,90.00B,6.113147735595703e-06,6.001091003417969e-06
1575662228201,2300.016,5a:4a:7b:c8:b1:0c,176.00B,90.00B,6.105279922485351e-06,6.104421615600586e-06
1575662228202,2300.014,42:cc:80:e6:2b:e7,90.00B,176.00B,6.255769729614258e-06,6.2705516815185545e-06
1575662228205,2300.014,7e:f9:d2:45:d9:7f,90.00B,90.00B,5.918073654174804e-06,5.932950973510742e-06
1575662228204,2300.014,46:2a:d3:8f:8b:a7,90.00B,90.00B,6.276988983154297e-06,6.428003311157226e-06
1575662228203,2300.014,4e:e3:b8:c9:f7:c5,90.00B,90.00B,6.408929824829102e-06,6.309556961059571e-06
1575662228201,2300.014,3a:83:80:71:ae:76,90.00B,90.00B,6.5348625183105465e-06,6.328248977661133e-06
1575662228201,2300.014,ea:23:48:2a:8c:31,90.00B,90.00B,6.002950668334961e-06,6.06689453125e-06
